page_url,city_from,city_to,price,segment,total_freq
https://city2city.ru/volgograd-uryupinsk,Волгоград,Урюпинск,10200,SEO_GOLD_DIRECT,369
https://city2city.ru/voronezh-moskva,Воронеж,Москва,15400,SEO_INVEST_DIRECT,366
https://city2city.ru/moskva-voronezh,Москва,Воронеж,15400,SEO_INVEST_DIRECT,366
https://city2city.ru/belgorod-moskva,Белгород,Москва,19800,SEO_INVEST_DIRECT,365
https://city2city.ru/samara-orenburg,Самара,Оренбург,12400,SEO_INVEST_DIRECT,359
https://city2city.ru/orenburg-samara,Оренбург,Самара,12400,SEO_INVEST_DIRECT,359
https://city2city.ru/ekaterinburg-irbit-2,Екатеринбург,Ирбит,6200,SEO_GOLD,341
https://city2city.ru/tomsk-kolpashevo,Томск,Колпашево,9600,SEO_INVEST,337
https://city2city.ru/tomsk-novosibirsk,Томск,Новосибирск,8000,SEO_INVEST,333
https://city2city.ru/ufa-magnitogorsk,Уфа,Магнитогорск,10200,SEO_INVEST_DIRECT,327
https://city2city.ru/joshkar-ola-kazan,Йошкар-Ола,Казань,4500,SEO_HARD,325
https://city2city.ru/nizhnij-novgorod-moskva,Нижний Новгород,Москва,13000,SEO_INVEST_DIRECT,325
https://city2city.ru/ufa-moskva,Уфа,Москва,40000,SEO_INVEST_DIRECT,323
https://city2city.ru/tver-moskva,Тверь,Москва,5000,SEO_INVEST,307
https://city2city.ru/moskva-tver,Москва,Тверь,5400,SEO_INVEST,307
https://city2city.ru/ekaterinburg-tyumen,Екатеринбург,Тюмень,9900,SEO_HARD,303
https://city2city.ru/kirov-vyatskie-polyany,Киров,Вятские Поляны,10000,SEO_INVEST_DIRECT,300
https://city2city.ru/kemerovo-novosibirsk,Кемерово,Новосибирск,7800,SEO_INVEST,299
https://city2city.ru/vladimir-suzdal,Владимир,Суздаль,3000,SEO_GOLD,298
https://city2city.ru/blagoveshhensk-svobodnyj,Благовещенск,Свободный,5100,SEO_DEFEND,297
https://city2city.ru/ufa-orsk,Уфа,Орск,18000,SEO_INVEST_DIRECT,296
https://city2city.ru/moskva-samara,Москва,Самара,32500,SEO_INVEST_DIRECT,290
https://city2city.ru/samara-moskva,Самара,Москва,33000,SEO_INVEST_DIRECT,290
https://city2city.ru/ufa-bajmak,Уфа,Баймак,12300,SEO_GOLD_DIRECT,289
https://city2city.ru/moskva-kazan,Москва,Казань,24200,SEO_INVEST_DIRECT,288
https://city2city.ru/volgograd-volzhskij,Волгоград,Волжский,3000,SEO_GOLD,286
https://city2city.ru/barnaul-belokuriha,Барнаул,Белокуриха,6800,SEO_HARD,280
https://city2city.ru/irkutsk-angarsk,Иркутск,Ангарск,3000,SEO_DEFEND,278
https://city2city.ru/kazan-ufa,Международный аэропорт Казань,Уфа,15900,DIRECT_ONLY,276
https://city2city.ru/ufa-kazan,Уфа,Казань,16500,SEO_INVEST_DIRECT,276
https://city2city.ru/krasnodar-moskva,Краснодар,Москва,40500,SEO_INVEST_DIRECT,271
https://city2city.ru/yaroslavl-moskva,Ярославль,Москва,8000,SEO_INVEST,269
https://city2city.ru/moskva-yaroslavl,Москва,Ярославль,8000,SEO_INVEST,269
https://city2city.ru/rostov-moskva,Ростов-на-Дону,Москва,32400,SEO_INVEST_DIRECT,261
https://city2city.ru/chelyabinsk-ufa,Челябинск,Уфа,12400,SEO_INVEST_DIRECT,251
https://city2city.ru/ufa-neftekams,Уфа,Нефтекамск,6300,SEO_INVEST,249
https://city2city.ru/kazan-orenburg,Казань,Оренбург,21900,SEO_INVEST_DIRECT,247
https://city2city.ru/nizhnij-novgorod-dzerzhinsk,Нижний Новгород,Дзержинск,2000,SEO_INVEST,242
https://city2city.ru/ekaterinburg-magnitogorsk-2,Екатеринбург,Магнитогорск,15600,SEO_INVEST_DIRECT,240
https://city2city.ru/izhevsk-sarapul,Ижевск,Сарапул,3200,SEO_DEFEND,239
https://city2city.ru/rostov-doneczk-rostovskaya-oblast,Ростов-на-Дону,Донецк,5000,SEO_GOLD,239
https://city2city.ru/chelyabinsk-miass,Челябинск,Миасс,3800,SEO_GOLD,237
https://city2city.ru/kazan-ulyanovsk,Международный аэропорт Казань,Ульяновск,6600,SEO_HARD,234
https://city2city.ru/ulyanovsk-kazan,Ульяновск,Казань,6600,SEO_GOLD,234
https://city2city.ru/yaroslavl-rybinsk,Ярославль,Рыбинск,3800,SEO_GOLD,226
https://city2city.ru/samara-uralsk,Самара,Уральск,8700,SEO_GOLD,222
https://city2city.ru/barnaul-biysk-2,Барнаул,Бийск,5300,SEO_HARD,219
https://city2city.ru/murmansk-polyarnyy,Мурманск,Полярный,3000,SEO_GOLD,218
https://city2city.ru/krasnodar-rostov-na-donu,Краснодар,Ростов-на-Дону,8500,SEO_INVEST,216
https://city2city.ru/orenburg-buguruslan,Оренбург,Бугуруслан,10800,SEO_GOLD_DIRECT,216
https://city2city.ru/rostov-krasnodar,Ростов-на-Дону,Краснодар,8200,SEO_INVEST,216
https://city2city.ru/orenburg-meleuz,Оренбург,Мелеуз,5300,SEO_GOLD,215
https://city2city.ru/krasnodar-anapa,Аэропорт,Анапа,5000,SEO_INVEST,212
