url;gorod1;gorod2;distance;price;freq;segment;source
https://city2city.ru/ekaterinburg-sibaj.html;Екатеринбург;Сибай;590;17700;40889;DIRECT_ONLY;old
https://city2city.ru/cheljabinsk-sibaj.html;Челябинск;Сибай;380;11400;28072;DIRECT_ONLY;old
https://city2city.ru/rostov-rostov-velikij.html;Ростов-на-Дону;Ростов;1300;39000;19134;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-kirov.html;Донецк;Киров;1860;56000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-volgograd.html;Донецк;Волгоград;620;18600;10273;DIRECT_ONLY;old
https://city2city.ru/donetsk-saransk.html;Донецк;Саранск;1160;35000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-saratov.html;Донецк;Саратов;970;29000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-yoshkar-ola.html;Донецк;Йошкар-Ола;1560;47000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-tambov.html;Донецк;Тамбов;870;26000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-kazan.html;Донецк;Казань;1580;47500;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-ufa.html;Донецк;Уфа;1910;57300;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/donetsk-orenburg.html;Донецк;Оренбург;1770;53000;10273;DIRECT_ONLY;old
https://city2city.ru/donetsk-maykop.html;Донецк;Майкоп;540;22000;10273;SEO_INVEST_DIRECT;old
https://city2city.ru/bratsk-irkutsk.html;Братск;Иркутск;620;18500;1371;SEO_INVEST_DIRECT;old
https://city2city.ru/izhevsk-kazan.html;Ижевск;Казань;365;11000;1026;DIRECT_ONLY;old
https://city2city.ru/moskva-doneczk-rostovskaya-oblast.html;Москва;Донецк;980;29500;818;SEO_INVEST_DIRECT;old
https://city2city.ru/ufa-orenburg.html;Уфа;Оренбург;370;11100;791;SEO_INVEST_DIRECT;old
https://city2city.ru/orenburg-ufa.html;Оренбург;Уфа;370;11100;791;SEO_GOLD_DIRECT;old
https://city2city.ru/moskva-rostov-velikij.html;Москва;Ростов;1080;32500;723;SEO_INVEST_DIRECT;old
https://city2city.ru/ufa-sibaj.html;Уфа;Сибай;410;12300;721;SEO_INVEST_DIRECT;old
https://city2city.ru/enisejsk-krasnojarsk.html;Енисейск;Красноярск;340;10200;535;DIRECT_ONLY;old
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html;Киров;Киров;1300;39000;498;NEW_P1;new
https://city2city.ru/krasnodar-simferopol.html;Краснодар;Симферополь;440;13500;492;NEW_P1;new
https://city2city.ru/krasnoyarsk-enisejsk.html;Красноярск;Енисейск;335;10000;476;SEO_GOLD_DIRECT;old
https://city2city.ru/sankt-peterburg-moskva.html;Санкт-Петербург;Москва;705;21200;449;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-piter.html;Москва;Санкт-Петербург;700;21000;449;SEO_INVEST_DIRECT;old
https://city2city.ru/krasnodar-sevastopol.html;Краснодар;Севастополь;530;16000;420;NEW_P1;new
https://city2city.ru/moskva-leningradskaya.html;Москва;станица Ленинградская;1240;37500;406;NEW_P1;new
https://city2city.ru/kazan-moskva.html;Казань;Москва;810;24300;399;DIRECT_ONLY;old
https://city2city.ru/kazan-samara.html;Международный аэропорт Казань;Самара;375;11200;385;DIRECT_ONLY;old
https://city2city.ru/samara-kazan.html;Самара;Казань;365;11000;385;SEO_GOLD_DIRECT;old
https://city2city.ru/izhevsk-ufa.html;Ижевск;Уфа;340;10200;384;DIRECT_ONLY;old
https://city2city.ru/volgograd-uryupinsk.html;Волгоград;Урюпинск;340;10200;369;SEO_GOLD_DIRECT;old
https://city2city.ru/voronezh-moskva.html;Воронеж;Москва;515;15400;366;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-voronezh.html;Москва;Воронеж;515;15400;366;SEO_INVEST_DIRECT;old
https://city2city.ru/belgorod-moskva.html;Белгород;Москва;660;19800;365;SEO_INVEST_DIRECT;old
https://city2city.ru/samara-orenburg.html;Самара;Оренбург;415;12400;359;SEO_INVEST_DIRECT;old
https://city2city.ru/orenburg-samara.html;Оренбург;Самара;415;12400;359;SEO_INVEST_DIRECT;old
https://city2city.ru/ufa-magnitogorsk.html;Уфа;Магнитогорск;340;10200;327;SEO_INVEST_DIRECT;old
https://city2city.ru/nizhnij-novgorod-moskva.html;Нижний Новгород;Москва;440;13000;325;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-nigniy_novgorod.html;Москва;Нижний Новгород;460;14000;325;NEW_P1;new
https://city2city.ru/ufa-moskva.html;Уфа;Москва;1330;40000;323;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-ufa.html;Москва;Уфа;1350;40500;323;NEW_P1;new
https://city2city.ru/moskva-belgorod.html;Москва;Белгород;690;21000;303;NEW_P1;new
https://city2city.ru/kirov-vyatskie-polyany.html;Киров;Вятские Поляны;340;10000;300;SEO_INVEST_DIRECT;old
https://city2city.ru/ufa-orsk.html;Уфа;Орск;600;18000;296;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-samara.html;Москва;Самара;1080;32500;290;SEO_INVEST_DIRECT;old
https://city2city.ru/samara-moskva.html;Самара;Москва;1095;33000;290;SEO_INVEST_DIRECT;old
https://city2city.ru/ufa-bajmak.html;Уфа;Баймак;410;12300;289;SEO_GOLD_DIRECT;old
https://city2city.ru/moskva-kazan.html;Москва;Казань;805;24200;288;SEO_INVEST_DIRECT;old
https://city2city.ru/kursk-moskva.html;Курск;Москва;530;16000;281;NEW_P1;new
https://city2city.ru/kazan-ufa.html;Международный аэропорт Казань;Уфа;530;15900;276;DIRECT_ONLY;old
https://city2city.ru/ufa-kazan.html;Уфа;Казань;550;16500;276;SEO_INVEST_DIRECT;old
https://city2city.ru/krasnodar-moskva.html;Краснодар;Москва;1350;40500;271;SEO_INVEST_DIRECT;old
https://city2city.ru/rostov-moskva.html;Ростов-на-Дону;Москва;1080;32400;261;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-rostov-na-don.html;Москва;Ростов-на-Дону;1100;33000;261;NEW_P1;new
https://city2city.ru/chelyabinsk-ufa.html;Челябинск;Уфа;415;12400;251;SEO_INVEST_DIRECT;old
https://city2city.ru/kazan-orenburg.html;Казань;Оренбург;730;21900;247;SEO_INVEST_DIRECT;old
https://city2city.ru/krasnodar-sochi.html;Краснодар;Сочи;320;10000;222;NEW_P1;new
https://city2city.ru/sankt-peterburg-leningradskaya.html;Санкт-Петербург;станица Ленинградская;1920;58000;218;NEW_P1;new
https://city2city.ru/orenburg-buguruslan.html;Оренбург;Бугуруслан;360;10800;216;SEO_GOLD_DIRECT;old
https://city2city.ru/krasnodar-yalta.html;Краснодар;Ялта;500;15000;212;NEW_P1;new
https://city2city.ru/ufa-chelyabinsk.html;Уфа;Челябинск;415;12400;207;SEO_INVEST_DIRECT;old
https://city2city.ru/kazan-oktyabrskij-respublika-bashkortostan.html;Казань;Октябрьский;410;12300;206;SEO_INVEST_DIRECT;old
https://city2city.ru/moskva-sochi.html;Москва;Сочи;1650;49500;204;NEW_P1;new
https://city2city.ru/samara-ufa.html;Самара;Уфа;460;13800;200;DIRECT_TEST;old
https://city2city.ru/ufa-samara.html;Уфа;Самара;465;14000;200;DIRECT_TEST;old
https://city2city.ru/ivanovo-moskva.html;Иваново;Москва;340;10500;199;NEW_P1;new
https://city2city.ru/moskva-ivanovo.html;Москва;Иваново;320;10000;199;NEW_P1;new
https://city2city.ru/svo-taxi-krasnodar-donetsk.html;Краснодар;Донецк;450;13500;181;DIRECT_TEST;old
https://city2city.ru/orenburg-kazan.html;Оренбург;Казань;720;21600;180;DIRECT_TEST;old
https://city2city.ru/moskva-krasnogvardejskoe.html;Москва;село Красногвардейское;1800;54000;173;NEW_P1;new
https://city2city.ru/ufa-ekaterinburg.html;Уфа;Екатеринбург;525;15800;172;DIRECT_TEST;old
https://city2city.ru/ekaterinburg-ufa.html;международный аэропорт Кольцово Екатеринбург;Уфа;525;15800;172;DIRECT_TEST;old
https://city2city.ru/kazan-kirov.html;Международный аэропорт Казань;Киров;395;11800;169;DIRECT_TEST;old
https://city2city.ru/kirov-kazan.html;Киров;Казань;395;11800;169;DIRECT_TEST;old
https://city2city.ru/moskva-saratov.html;Москва;Саратов;860;26000;167;NEW_P1;new
https://city2city.ru/saratov-moskva.html;Саратов;Москва;850;25500;167;NEW_P1;new
https://city2city.ru/moskva-krasnyj.html;Москва;Красный проспект;1030;31000;156;NEW_P1;new
https://city2city.ru/penza-moskva.html;Пенза;Москва;645;19400;155;DIRECT_TEST;old
https://city2city.ru/moskva-penza.html;Москва;Пенза;645;19400;155;DIRECT_TEST;old
https://city2city.ru/ekaterinburg-moskva.html;Екатеринбург;Москва;1675;50200;154;DIRECT_TEST;old
https://city2city.ru/moskva-borovichi.html;Москва;Боровичи;430;13000;151;DIRECT_TEST;old
https://city2city.ru/smolensk-moskva.html;Смоленск;Москва;400;12000;144;DIRECT_TEST;old
https://city2city.ru/moskva-smolensk.html;Москва;Смоленск;402;12500;144;NEW_P1;new
https://city2city.ru/kostroma-moskva.html;Кострома;Москва;335;10000;142;DIRECT_TEST;old
https://city2city.ru/moskva-kostroma.html;Москва;Кострома;350;10500;142;NEW_P1;new
https://city2city.ru/orenburg-moskva.html;Оренбург;Москва;1505;45200;136;DIRECT_TEST;old
https://city2city.ru/moskva-orenburg.html;Москва;Оренбург;1505;45000;136;DIRECT_TEST;old
https://city2city.ru/kirov-syktyvkar.html;Киров;Сыктывкар;415;12400;131;DIRECT_TEST;old
https://city2city.ru/syktyvkar-kirov.html;Сыктывкар;Киров;415;12400;131;DIRECT_TEST;old
https://city2city.ru/tambov-moskva.html;Тамбов;Москва;460;14000;131;NEW_P1;new
