page_url,city_from,city_to,price,segment
https://city2city.ru/irkutsk-usole-sibirskoe,Иркутск,Усолье-Сибирское,3800,SEO
https://city2city.ru/ivanovo-kineshma,Иваново,Кинешма,3800,SEO
https://city2city.ru/kemerovo-prokopevsk,Кемерово,Прокопьевск,6400,SEO
https://city2city.ru/ekaterinburg-verxnyaya-pyshma,Екатеринбург,Верхняя Пышма,2000,SEO
https://city2city.ru/belgorod-rossosh,Белгород,Россошь,7800,SEO
https://city2city.ru/belgorod-rossosh-2,Белгород,Россошь,7800,SEO
https://city2city.ru/chelyabinsk-zlatoust,Челябинск,Златоуст,5000,SEO
https://city2city.ru/ekaterinburg-alapaevsk,Екатеринбург,Алапаевск,5300,SEO
https://city2city.ru/chelyabinsk-tyumen,Челябинск,Тюмень,12600,DIRECT
https://city2city.ru/kemerovo-tomsk,Кемерово,Томск,6200,SEO
https://city2city.ru/barnaul-novoaltaysk,Барнаул,Новоалтайск,2000,SEO
https://city2city.ru/ekaterinburg-severouralsk,Екатеринбург,Североуральск,13200,DIRECT
https://city2city.ru/izhevsk-moskva,Ижевск,Москва,35500,DIRECT
https://city2city.ru/ekaterinburg-beloreczk,Екатеринбург,Белорецк,53700,DIRECT
https://city2city.ru/astraxan-moskva,Астрахань,Москва,41800,DIRECT
https://city2city.ru/hanty-mansijsk-njagan,Ханты-Мансийск,Нягань,8700,SEO
https://city2city.ru/ekaterinburg-asbest,Екатеринбург,Асбест,3800,SEO
https://city2city.ru/kazan-innopolis,Казань,Иннополис,2000,SEO
https://city2city.ru/irkutsk-slyudyanka,Иркутск,Слюдянка,3800,SEO
https://city2city.ru/belgorod-stroitel,Белгород,Строитель,2000,SEO
https://city2city.ru/izhevsk-neftekamsk,Ижевск,Нефтекамск,4700,SEO
https://city2city.ru/irkutsk-cheremxovo,Иркутск,Черемхово,5200,SEO
https://city2city.ru/ivanovo-vichuga,Иваново,Вичуга,3400,SEO
https://city2city.ru/belgorod-shebekino,Белгород,Шебекино,2000,SEO
https://city2city.ru/kazan-belebej,Казань,Белебей,13000,DIRECT
https://city2city.ru/kazan-tolyatti,Казань,Тольятти,10000,DIRECT
https://city2city.ru/chelyabinsk-app-bugristoe,Челябинск,Троицк,4500,SEO
https://city2city.ru/blagoveshhensk-jakutsk,Благовещенск,Якутск,53000,DIRECT
https://city2city.ru/belgorod-valujki,Белгород,Валуйки,5300,SEO
https://city2city.ru/barnaul-alyaysk,Барнаул,Алейск,4900,SEO
https://city2city.ru/barnaul-rubtsovsk,Барнаул,Рубцовск,8800,SEO
https://city2city.ru/cheboksary-nizhnij-novgorod,Чебоксары,Нижний Новгород,7000,SEO
https://city2city.ru/cheboksary-czivilsk,Чебоксары,Цивильск,2000,SEO
https://city2city.ru/ekaterinburg-sysert,Екатеринбург,Сысерть,3000,SEO
https://city2city.ru/ekaterinburg-miass,Екатеринбург,Миасс,7200,SEO
https://city2city.ru/irkutsk-kirensk,Иркутск,Киренск,28500,DIRECT
https://city2city.ru/bratsk-krasnojarsk,Братск,Красноярск,20400,DIRECT
https://city2city.ru/ekaterinburg-beryozovskij,Екатеринбург,Берёзовский,2000,SEO
https://city2city.ru/ekaterinburg-kazan,Екатеринбург,Казань,26700,DIRECT
https://city2city.ru/bryansk-domodedovo,Брянск,Домодедово,12000,DIRECT
https://city2city.ru/kemerovo-krasnoyarsk,Кемерово,Красноярск,15800,DIRECT
https://city2city.ru/kazan-bolgar,Казань,Болгар,6100,SEO
https://city2city.ru/chelyabinsk-orenburg,Челябинск,Оренбург,22400,DIRECT
https://city2city.ru/chelyabinsk-satka,Челябинск,Сатка,5500,SEO
https://city2city.ru/belgorod-sankt-peterburg,Белгород,Санкт-Петербург,41000,DIRECT
https://city2city.ru/bryansk-smolensk,Брянск,Смоленск,7400,SEO
https://city2city.ru/kaluga-suvorov,Калуга,Суворов,2000,SEO
https://city2city.ru/ekaterinburg-novouralsk,Екатеринбург,Новоуральск,2500,SEO
https://city2city.ru/ekaterinburg-rezh,Екатеринбург,Реж,2500,SEO
https://city2city.ru/bryansk-dyatkovo,Брянск,Дятьково,3000,SEO
https://city2city.ru/ekaterinburg-revda-2,Екатеринбург,Ревда,2000,SEO
https://city2city.ru/kazan-volzhsk,Казань,Волжск,3000,SEO
https://city2city.ru/irkutsk-krasnoyarsk,Иркутск,Красноярск,31800,DIRECT
https://city2city.ru/astraxan-xarabali,Астрахань,Харабали,5300,SEO
https://city2city.ru/chelyabinsk-orsk,Челябинск,Орск,18300,DIRECT
https://city2city.ru/kemerovo-anzhero-sudzhensk,Кемерово,Анжеро-Судженск,3000,SEO
https://city2city.ru/ekaterinburg-zarechnyj-2,Екатеринбург,Заречный,2000,SEO
https://city2city.ru/kemerovo-kiselyovsk,Кемерово,Киселёвск,5000,SEO
https://city2city.ru/chelyabinsk-yuzhnouralsk,Челябинск,Южноуральск,2500,SEO
https://city2city.ru/cheboksary-alatyr,Чебоксары,Алатырь,6000,SEO
https://city2city.ru/ekaterinburg-orenburg,Екатеринбург,Оренбург,28800,DIRECT
https://city2city.ru/kazan-buinsk,Казань,Буинск,4500,SEO
https://city2city.ru/kazan-saratov,Казань,Саратов,19600,DIRECT
https://city2city.ru/elista-mineralnye-vody,Элиста,Минеральные Воды,9300,SEO
https://city2city.ru/izhevsk-samara,Ижевск,Самара,16500,DIRECT
https://city2city.ru/kazan-magnitogorsk,Казань,Магнитогорск,26100,DIRECT
https://city2city.ru/cheboksary-ulyanovsk,Чебоксары,Ульяновск,7000,SEO
https://city2city.ru/bryansk-starodub,Брянск,Стародуб,5000,SEO
https://city2city.ru/irkutsk-zima,Иркутск,Зима,8000,SEO
https://city2city.ru/kemerovo-tayga,Кемерово,Тайга,3800,SEO
https://city2city.ru/irkutsk-severobajkalsk,Иркутск,Северобайкальск,24600,DIRECT
https://city2city.ru/blagoveshhensk-zeya,Благовещенск,Зея,15300,DIRECT
https://city2city.ru/elista-stavropol,Элиста,Ставрополь,8000,SEO
https://city2city.ru/kemerovo-topki,Кемерово,Топки,3000,SEO
https://city2city.ru/irkutsk-novosibirsk,Иркутск,Новосибирск,55000,DIRECT
https://city2city.ru/bryansk-pochep,Брянск,Почеп,2500,SEO
https://city2city.ru/ekaterinburg-kachkanar,Екатеринбург,Качканар,7500,SEO
https://city2city.ru/chelyabinsk-emanzhelinsk,Челябинск,Еманжелинск,2000,SEO
https://city2city.ru/bryansk-oryol,Брянск,Орёл,4000,SEO
https://city2city.ru/energodar-ufa,Энергодар,,65500,DIRECT
https://city2city.ru/energodar-rostov-na-don,Энергодар,,14000,DIRECT
https://city2city.ru/energodar-simferopol,Энергодар,,10500,DIRECT
https://city2city.ru/kazan-vyatskie-polyany,Казань,Вятские Поляны,5000,SEO
https://city2city.ru/izhevsk-nizhnekamsk,Ижевск,Нижнекамск,6300,SEO
https://city2city.ru/ivanovo-suzdal,Иваново,Суздаль,3600,SEO
https://city2city.ru/ivanovo-rostov-velikij,Иваново,Ростов,4700,SEO
https://city2city.ru/aeroport-gagarin-balakovo,аэропорт Гагарин,Балаково,5100,SEO
https://city2city.ru/kazan-laishevo,Казань,Лаишево,3000,SEO
https://city2city.ru/ekaterinburg-nevyansk,Екатеринбург,Невьянск,2500,SEO
https://city2city.ru/chelyabinsk-ozyorsk,Челябинск,Озерск,3500,SEO
https://city2city.ru/kaluga-maloyaroslavecz,Калуга,Малоярославец,2000,SEO
https://city2city.ru/chelyabinsk-shhuche,Челябинск,Щучье,3000,SEO
https://city2city.ru/kemerovo-leninsk-kuznetskiy,Кемерово,Ленинск-Кузнецкий,3000,SEO
https://city2city.ru/kazan-sibaj,Казань,Сибай,28400,DIRECT
https://city2city.ru/chelyabinsk-korkino,Челябинск,Коркино,3000,SEO
https://city2city.ru/kaluga-kirov-kaluzhskaya-oblast,Калуга,Киров,36000,DIRECT
https://city2city.ru/ekaterinburg-izhevsk,Екатеринбург,Ижевск,17000,DIRECT
