url;gorod1;gorod2;rasstoyanie
https://city2city.ru/astraxan-liski.html;Астрахань;Лиски;
https://city2city.ru/astraxan-morshansk.html;Астрахань;Моршанск;
https://city2city.ru/astraxan-murmansk.html;Астрахань;Мурманск;
https://city2city.ru/astraxan-murom.html;Астрахань;Муром;
https://city2city.ru/astraxan-neya.html;Астрахань;Нея;
https://city2city.ru/astraxan-pavlovskaya.html;Астрахань;станица Павловская;
https://city2city.ru/astraxan-pavlovskij.html;Астрахань;рабочий посёлок Павловский;
https://city2city.ru/astraxan-pushkino.html;Астрахань;посёлок городского типа Пушкино;
https://city2city.ru/astraxan-rossosh.html;Астрахань;Россошь;
https://city2city.ru/astraxan-sarai.html;Астрахань;рабочий посёлок Сараи;
https://city2city.ru/astraxan-severnyj.html;Астрахань;посёлок городского типа Северный;
https://city2city.ru/astraxan-silikatnyj.html;Астрахань;рабочий посёлок Силикатный;
https://city2city.ru/astraxan-sovetskij.html;Астрахань;Советский;
https://city2city.ru/astraxan-sovetskoe.html;Астрахань;посёлок городского типа Советское;
https://city2city.ru/astraxan-svobodnyj.html;Астрахань;посёлок городского типа Свободный;
https://city2city.ru/astraxan-tyumen.html;Астрахань;Тюмень;
https://city2city.ru/astraxan-vodnyj.html;Астрахань;посёлок городского типа Водный;
https://city2city.ru/astraxan-xvalynsk.html;Астрахань;Хвалынск;
https://city2city.ru/barnaul-achinsk.html;Барнаул;Ачинск;
https://city2city.ru/barnaul-asino.html;Барнаул;город Асино;
https://city2city.ru/barnaul-barabinsk.html;Барнаул;Барабинск;
https://city2city.ru/barnaul-belovo.html;Барнаул;Белово;
https://city2city.ru/barnaul-bratsk.html;Барнаул;Братск;
https://city2city.ru/barnaul-gurevsk.html;Барнаул;Гурьевск;
https://city2city.ru/barnaul-kamen-na-obi.html;Барнаул;Камень-на-Оби;
https://city2city.ru/barnaul-karasuk.html;Барнаул;Карасук;
https://city2city.ru/barnaul-kemerovo.html;Барнаул;Кемерово;
https://city2city.ru/barnaul-ob.html;Барнаул;Обь;
https://city2city.ru/belgorod-arzamas.html;Белгород;Арзамас;
https://city2city.ru/belgorod-belyj.html;Белгород;Белый;
https://city2city.ru/belgorod-beryozovo.html;Белгород;посёлок городского типа Берёзово;
https://city2city.ru/belgorod-bogorodsk.html;Белгород;Богородск;
https://city2city.ru/belgorod-borisovka.html;Белгород;посёлок городского типа Борисовка;
https://city2city.ru/belgorod-dzerzhinsk.html;Белгород;Дзержинск;
https://city2city.ru/belgorod-dzhankoj.html;Белгород;Джанкой;
https://city2city.ru/belgorod-elista.html;Белгород;Элиста;
https://city2city.ru/belgorod-kalach.html;Белгород;Калач;
https://city2city.ru/belgorod-kalininskaya.html;Белгород;станица Калининская;
https://city2city.ru/belgorod-kargopol.html;Белгород;Каргополь;
https://city2city.ru/belgorod-kem.html;Белгород;Кемь;
https://city2city.ru/belgorod-kineshma.html;Белгород;Кинешма;
https://city2city.ru/belgorod-kireevsk.html;Белгород;Киреевск;
https://city2city.ru/belgorod-kirov.html;Белгород;Киров;
https://city2city.ru/belgorod-komsomolskij.html;Белгород;поселок городского типа Комсомольский;
https://city2city.ru/belgorod-korolyov.html;Белгород;Королёв;
https://city2city.ru/belgorod-krasnogvardejskoe.html;Белгород;село Красногвардейское;
https://city2city.ru/belgorod-krasnyj.html;Белгород;поселок городского типа Красный;
https://city2city.ru/belgorod-kujbyshevo.html;Белгород;село Куйбышево;
https://city2city.ru/belgorod-lgov.html;Белгород;Дмитриев;
https://city2city.ru/belgorod-luza.html;Белгород;Луза;
https://city2city.ru/belgorod-medvenka.html;Белгород;посёлок городского типа Медвенка;
https://city2city.ru/belgorod-mirnyj.html;Белгород;Мирный;
https://city2city.ru/belgorod-morozovsk.html;Белгород;Морозовск;
https://city2city.ru/belgorod-nizhnevartovsk.html;Белгород;Нижневартовск;
https://city2city.ru/belgorod-oktyabrskij.html;Белгород;поселок городского типа Октябрьский;
https://city2city.ru/belgorod-oktyabrskoe.html;Белгород;посёлок городского типа Октябрьское;
https://city2city.ru/belgorod-orlov.html;Белгород;Орлов;
https://city2city.ru/belgorod-ostrov.html;Белгород;Остров;
https://city2city.ru/belgorod-ozinki.html;Белгород;рабочий посёлок Озинки;
https://city2city.ru/belgorod-privolzhsk.html;Белгород;Приволжск;
https://city2city.ru/belgorod-proxorovka.html;Белгород;посёлок городского типа Прохоровка;
https://city2city.ru/belgorod-pugachyov.html;Белгород;Пугачёв;
https://city2city.ru/belgorod-razumnoe.html;Белгород;посёлок городского типа Разумное;
https://city2city.ru/belgorod-salavat.html;Белгород;Салават;
https://city2city.ru/belgorod-semikarakorsk.html;Белгород;Семикаракорск;
https://city2city.ru/belgorod-severnyj.html;Белгород;посёлок городского типа Северный;
https://city2city.ru/belgorod-sheksna.html;Белгород;рабочий посёлок Шексна;
https://city2city.ru/belgorod-surovikino.html;Белгород;Суровикино;
https://city2city.ru/belgorod-svobodnyj.html;Белгород;поселок Свободный;
https://city2city.ru/belgorod-temryuk.html;Белгород;Темрюк;
https://city2city.ru/belgorod-tuapse.html;Белгород;Туапсе;
https://city2city.ru/belgorod-velsk.html;Белгород;Вельск;
https://city2city.ru/belgorod-vyksa.html;Белгород;Выкса;
https://city2city.ru/belgorod-vyselki.html;Белгород;станица Выселки;
https://city2city.ru/belgorod-yasnyj.html;Белгород;Ясный;
https://city2city.ru/belgorod-yuzhnyj.html;Белгород;рабочий поселок Южный;
https://city2city.ru/belgorod-zelenokumsk.html;Белгород;Зеленокумск;
https://city2city.ru/blagoveshhensk-aeroport-xabarovsk-novyj.html;Благовещенск;аэропорт Хабаровск (Новый) имени Г.И. Невельского;
https://city2city.ru/blagoveshhensk-barnaul.html;Благовещенск;Барнаул;
https://city2city.ru/blagoveshhensk-bodajbo.html;Благовещенск;Бодайбо;
https://city2city.ru/blagoveshhensk-ekaterinburg.html;Благовещенск;Екатеринбург;
https://city2city.ru/blagoveshhensk-kirensk.html;Благовещенск;Киренск;
https://city2city.ru/blagoveshhensk-krasnoyarsk.html;Благовещенск;Красноярск;
https://city2city.ru/blagoveshhensk-kyzyl.html;Благовещенск;Кызыл;
https://city2city.ru/blagoveshhensk-mogocha.html;Благовещенск;Могоча;
https://city2city.ru/blagoveshhensk-naxodka.html;Благовещенск;Находка;
https://city2city.ru/blagoveshhensk-nizhnevartovsk.html;Благовещенск;Нижневартовск;
https://city2city.ru/blagoveshhensk-norilsk.html;Благовещенск;Норильск;
https://city2city.ru/blagoveshhensk-novokuzneczk.html;Благовещенск;Новокузнецк;
https://city2city.ru/blagoveshhensk-novyj-urengoj.html;Благовещенск;Новый Уренгой;
https://city2city.ru/blagoveshhensk-omsk.html;Благовещенск;Омск;
https://city2city.ru/blagoveshhensk-surgut.html;Благовещенск;Сургут;
https://city2city.ru/blagoveshhensk-tyumen.html;Благовещенск;Тюмень;
https://city2city.ru/blagoveshhensk-urengoj.html;Благовещенск;Новый Уренгой;
https://city2city.ru/blagoveshhensk-ust-ilimsk.html;Благовещенск;Усть-Илимск;
https://city2city.ru/blagoveshhensk-yuzhno-saxalinsk.html;Благовещенск;Южно-Сахалинск;
https://city2city.ru/bryansk-balabanovo.html;Брянск;Балабаново;
https://city2city.ru/bryansk-belye-berega.html;Брянск;посёлок Белые Берега;
https://city2city.ru/bryansk-belyj.html;Брянск;Белый;
https://city2city.ru/bryansk-czentralnyj.html;Брянск;Центральный;
https://city2city.ru/bryansk-dno.html;Брянск;Дно;
https://city2city.ru/bryansk-feodosiya.html;Брянск;Феодосия;
https://city2city.ru/bryansk-fokino.html;Брянск;Фокино;
https://city2city.ru/bryansk-gubkin.html;Брянск;Губкин;
https://city2city.ru/bryansk-izhevsk.html;Брянск;Ижевск;
https://city2city.ru/bryansk-kasimov.html;Брянск;Касимов;
https://city2city.ru/bryansk-klin.html;Брянск;Клин;
https://city2city.ru/bryansk-klinczy.html;Брянск;Клинцы;
https://city2city.ru/bryansk-kolomna.html;Брянск;Коломна;
https://city2city.ru/bryansk-labinsk.html;Брянск;Лабинск;
https://city2city.ru/bryansk-lyubim.html;Брянск;Любим;
https://city2city.ru/bryansk-marks.html;Брянск;Маркс;
https://city2city.ru/bryansk-neya.html;Брянск;Нея;
https://city2city.ru/bryansk-nizhnij-baskunchak.html;Брянск;посёлок городского типа Нижний Баскунчак;
https://city2city.ru/bryansk-oktyabrskoe.html;Брянск;посёлок городского типа Октябрьское;
https://city2city.ru/bryansk-orlov.html;Брянск;Орлов;
https://city2city.ru/bryansk-otradnaya.html;Брянск;станица Отрадная;
https://city2city.ru/bryansk-podolsk.html;Брянск;Подольск;
