url;gorod1;gorod2;price;freq;position;segment;federal_count;regional_count
https://city2city.ru/ekaterinburg-sibaj.html;Екатеринбург;Сибай;17700;40889;;DIRECT_ONLY;1;3
https://city2city.ru/cheljabinsk-sibaj.html;Челябинск;Сибай;11400;28072;;DIRECT_ONLY;0;3
https://city2city.ru/rostov-rostov-velikij.html;Ростов-на-Дону;Ростов;39000;19134;;SEO_INVEST_DIRECT;1;13
https://city2city.ru/donetsk-kirov.html;Донецк;Киров;56000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-volgograd.html;Донецк;Волгоград;18600;10273;;DIRECT_ONLY;1;4
https://city2city.ru/donetsk-chelyabinsk.html;Донецк;Челябинск;67500;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-saransk.html;Донецк;Саранск;35000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-saratov.html;Донецк;Саратов;29000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-yoshkar-ola.html;Донецк;Йошкар-Ола;47000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-tambov.html;Донецк;Тамбов;26000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-kazan.html;Донецк;Казань;47500;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-ufa.html;Донецк;Уфа;57300;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-ekaterinburg.html;Донецк;Екатеринбург;68500;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-orenburg.html;Донецк;Оренбург;53000;10273;;DIRECT_ONLY;1;4
https://city2city.ru/donetsk-maykop.html;Донецк;Майкоп;22000;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/donetsk-perm.html;Донецк;Пермь;66500;10273;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/bratsk-irkutsk.html;Братск;Иркутск;18500;1371;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/izhevsk-kazan.html;Ижевск;Казань;11000;1026;;DIRECT_ONLY;2;4
https://city2city.ru/moskva-doneczk-rostovskaya-oblast.html;Москва;Донецк;29500;818;;SEO_INVEST_DIRECT;1;22
https://city2city.ru/ufa-orenburg.html;Уфа;Оренбург;11100;791;;SEO_INVEST_DIRECT;1;19
https://city2city.ru/orenburg-ufa.html;Оренбург;Уфа;11100;791;20;SEO_GOLD_DIRECT;2;16
https://city2city.ru/moskva-rostov-velikij.html;Москва;Ростов;32500;723;;SEO_INVEST_DIRECT;1;26
https://city2city.ru/ufa-sibaj.html;Уфа;Сибай;12300;721;;SEO_INVEST_DIRECT;1;19
https://city2city.ru/enisejsk-krasnojarsk.html;Енисейск;Красноярск;10200;535;7;DIRECT_ONLY;0;2
https://city2city.ru/krasnoyarsk-enisejsk.html;Красноярск;Енисейск;10000;476;10;SEO_GOLD_DIRECT;2;14
https://city2city.ru/sankt-peterburg-moskva.html;Санкт-Петербург;Москва;21200;449;23;SEO_INVEST_DIRECT;1;19
https://city2city.ru/moskva-piter.html;Москва;Санкт-Петербург;21000;449;;SEO_INVEST_DIRECT;1;16
https://city2city.ru/kazan-moskva.html;Казань;Москва;24300;399;;DIRECT_ONLY;1;5
https://city2city.ru/kazan-samara.html;Международный аэропорт Казань;Самара;11200;385;;DIRECT_ONLY;2;3
https://city2city.ru/samara-kazan.html;Самара;Казань;11000;385;11;SEO_GOLD_DIRECT;2;19
https://city2city.ru/izhevsk-ufa.html;Ижевск;Уфа;10200;384;;DIRECT_ONLY;2;4
https://city2city.ru/volgograd-uryupinsk.html;Волгоград;Урюпинск;10200;369;5;SEO_GOLD_DIRECT;1;22
https://city2city.ru/voronezh-moskva.html;Воронеж;Москва;15400;366;;SEO_INVEST_DIRECT;1;22
https://city2city.ru/moskva-voronezh.html;Москва;Воронеж;15400;366;;SEO_INVEST_DIRECT;1;16
https://city2city.ru/belgorod-moskva.html;Белгород;Москва;19800;365;;SEO_INVEST_DIRECT;1;7
https://city2city.ru/samara-orenburg.html;Самара;Оренбург;12400;359;23;SEO_INVEST_DIRECT;2;17
https://city2city.ru/orenburg-samara.html;Оренбург;Самара;12400;359;25;SEO_INVEST_DIRECT;2;19
https://city2city.ru/ufa-magnitogorsk.html;Уфа;Магнитогорск;10200;327;;SEO_INVEST_DIRECT;1;19
https://city2city.ru/nizhnij-novgorod-moskva.html;Нижний Новгород;Москва;13000;325;;SEO_INVEST_DIRECT;2;21
https://city2city.ru/ufa-moskva.html;Уфа;Москва;40000;323;;SEO_INVEST_DIRECT;1;28
https://city2city.ru/kirov-vyatskie-polyany.html;Киров;Вятские Поляны;10000;300;;SEO_INVEST_DIRECT;2;16
https://city2city.ru/ufa-orsk.html;Уфа;Орск;18000;296;;SEO_INVEST_DIRECT;1;14
https://city2city.ru/moskva-samara.html;Москва;Самара;32500;290;;SEO_INVEST_DIRECT;1;27
https://city2city.ru/samara-moskva.html;Самара;Москва;33000;290;;SEO_INVEST_DIRECT;1;25
https://city2city.ru/ufa-bajmak.html;Уфа;Баймак;12300;289;16;SEO_GOLD_DIRECT;0;20
https://city2city.ru/moskva-kazan.html;Москва;Казань;24200;288;;SEO_INVEST_DIRECT;1;25
https://city2city.ru/kazan-ufa.html;Международный аэропорт Казань;Уфа;15900;276;;DIRECT_ONLY;2;2
https://city2city.ru/ufa-kazan.html;Уфа;Казань;16500;276;;SEO_INVEST_DIRECT;1;23
https://city2city.ru/krasnodar-moskva.html;Краснодар;Москва;40500;271;;SEO_INVEST_DIRECT;1;25
https://city2city.ru/rostov-moskva.html;Ростов-на-Дону;Москва;32400;261;30;SEO_INVEST_DIRECT;1;22
https://city2city.ru/chelyabinsk-ufa.html;Челябинск;Уфа;12400;251;;SEO_INVEST_DIRECT;1;6
https://city2city.ru/kazan-orenburg.html;Казань;Оренбург;21900;247;;SEO_INVEST_DIRECT;1;8
https://city2city.ru/orenburg-buguruslan.html;Оренбург;Бугуруслан;10800;216;15;SEO_GOLD_DIRECT;2;18
https://city2city.ru/ufa-chelyabinsk.html;Уфа;Челябинск;12400;207;;SEO_INVEST_DIRECT;1;19
https://city2city.ru/kazan-oktyabrskij-respublika-bashkortostan.html;Казань;Октябрьский;12300;206;;SEO_INVEST_DIRECT;1;5
https://city2city.ru/samara-ufa.html;Самара;Уфа;13800;200;24;DIRECT_TEST;1;24
https://city2city.ru/ufa-samara.html;Уфа;Самара;14000;200;;DIRECT_TEST;1;18
https://city2city.ru/svo-taxi-krasnodar-donetsk.html;Краснодар;Донецк;13500;181;;DIRECT_TEST;1;14
https://city2city.ru/orenburg-kazan.html;Оренбург;Казань;21600;180;26;DIRECT_TEST;1;24
https://city2city.ru/ufa-ekaterinburg.html;Уфа;Екатеринбург;15800;172;;DIRECT_TEST;1;19
https://city2city.ru/ekaterinburg-ufa.html;международный аэропорт Кольцово Екатеринбург;Уфа;15800;172;;DIRECT_TEST;2;3
https://city2city.ru/kazan-kirov.html;Международный аэропорт Казань;Киров;11800;169;;DIRECT_TEST;3;2
https://city2city.ru/kirov-kazan.html;Киров;Казань;11800;169;18;DIRECT_TEST;1;22
https://city2city.ru/penza-moskva.html;Пенза;Москва;19400;155;26;DIRECT_TEST;1;23
https://city2city.ru/moskva-penza.html;Москва;Пенза;19400;155;19;DIRECT_TEST;1;25
https://city2city.ru/ekaterinburg-moskva.html;Екатеринбург;Москва;50200;154;;DIRECT_TEST;0;9
