url;gorod1;gorod2;distance;price
https://city2city.ru/kirov-yalta.html;Киров;Ялта;2550;76500
https://city2city.ru/samara-pervomajsk.html;Самара;Первомайск;2100;63000
https://city2city.ru/sankt-peterburg-krasnogvardejskoe.html;Санкт-Петербург;село Красногвардейское;2100;63000
https://city2city.ru/krasnodar-neya.html;Краснодар;Нея;1930;58000
https://city2city.ru/sankt-peterburg-leningradskaya.html;Санкт-Петербург;станица Ленинградская;1920;58000
https://city2city.ru/moskva-sevastopol.html;Москва;Севастополь;1900;57000
https://city2city.ru/moskva-krasnogvardejskoe.html;Москва;село Красногвардейское;1800;54000
https://city2city.ru/moskva-simferopol.html;Москва;Симферополь;1800;54000
https://city2city.ru/rostov-kirov.html;Ростов-на-Дону;Киров;1800;54000
https://city2city.ru/moskva-dzhankoj.html;Москва;Джанкой;1700;51000
https://city2city.ru/moskva-sochi.html;Москва;Сочи;1650;49500
https://city2city.ru/sankt-peterburg-strizhi.html;Санкт-Петербург;деревня Стрижи;1600;48000
https://city2city.ru/bryansk-otradnyj.html;Брянск;Отрадный;1550;46500
https://city2city.ru/rostov-lyubim.html;Ростов-на-Дону;Любим;1520;46000
https://city2city.ru/kirov-volgograd.html;Киров;Волгоград;1500;45000
https://city2city.ru/moskva-otradnaya.html;Москва;станица Отрадная;1500;45000
https://city2city.ru/donetsk-nizhniy-novgorod.html;Донецк;Нижний Новгород;1450;43500
https://city2city.ru/donetsk-samara.html;Донецк;Самара;1450;43500
https://city2city.ru/donetsk-tver.html;Донецк;Тверь;1450;43500
https://city2city.ru/moskva-astraxan.html;Москва;Астрахань;1450;43500
https://city2city.ru/moskva-ufa.html;Москва;Уфа;1350;40500
https://city2city.ru/oryol-kirov.html;Орёл;Киров;1350;40500
https://city2city.ru/ufa-vidnoe.html;Уфа;садовое товарищество Видное;1350;40500
https://city2city.ru/perm-gagarin.html;Пермь;Гагарин;1303;39500
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html;Киров;Киров;1300;39000
https://city2city.ru/melitopol-tula.html;Мелитополь;Тула;1300;39000
https://city2city.ru/moskva-leningradskaya.html;Москва;станица Ленинградская;1240;37500
https://city2city.ru/moskva-pavlovskaya.html;Москва;станица Павловская;1250;37500
https://city2city.ru/kaluga-kirov.html;Калуга;Киров;1200;36000
https://city2city.ru/moskva-izhevsk.html;Москва;Ижевск;1200;36000
https://city2city.ru/belgorod-anapa.html;Белгород;Анапа;1150;34500
https://city2city.ru/yaroslavl-izhevsk.html;Ярославль;Ижевск;1150;34500
https://city2city.ru/moskva-otradnyj.html;Москва;Отрадный;1100;33000
https://city2city.ru/moskva-rostov-na-don.html;Москва;Ростов-на-Дону;1100;33000
https://city2city.ru/moskva-krasnyj.html;Москва;Красный проспект;1030;31000
https://city2city.ru/moskva-petrozavodsk.html;Москва;Петрозаводск;1030;31000
https://city2city.ru/donetsk-astrahan.html;Донецк;Астрахань;1000;30000
https://city2city.ru/moskva-volgograd.html;Москва;Волгоград;990;30000
https://city2city.ru/kazan-xolm.html;Казань;деревня Холм;980;29500
https://city2city.ru/moskva-kirov.html;Москва;Киров;950;28500
https://city2city.ru/ryazan-domodedovo.html;Рязань;Домодедово;870;26500
https://city2city.ru/moskva-saratov.html;Москва;Саратов;860;26000
https://city2city.ru/moskva-ulyanovsk.html;Москва;Ульяновск;850;25500
https://city2city.ru/saratov-moskva.html;Саратов;Москва;850;25500
https://city2city.ru/ulyanovsk-moskva.html;Ульяновск;Москва;840;25500
https://city2city.ru/pskov-strizhi.html;Псков;деревня Стрижи;800;24000
https://city2city.ru/rostov-kursk.html;Ростов-на-Дону;Курск;800;24000
