page_url;city_from;city_to;price;total_freq;segment;city2city_position;weakness_score;demand_score
https://city2city.ru/xabarovsk-dalnegorsk-2;Хабаровск;Дальнегорск;24500;7;DIRECT_LOW;2;0.8741;0.1953
https://city2city.ru/astraxan-ufa;Астрахань;Уфа;50500;7;DIRECT_LOW;;0.9184;0.1953
https://city2city.ru/ryazan-ufa;Рязань;Уфа;38000;7;DIRECT_LOW;;0.8728;0.1953
https://city2city.ru/nizhnij-novgorod-ryazan;Нижний Новгород;Рязань;13000;7;DIRECT_LOW;;0.9783;0.1953
https://city2city.ru/volgograd-anapa;Волгоград;Анапа;26400;6;DIRECT_LOW;9;0.8693;0.1828
https://city2city.ru/xabarovsk-amursk-2;Хабаровск;Амурск;13000;6;DIRECT_LOW;1;0.7566;0.1828
https://city2city.ru/samara-kamyshin;Самара;Камышин;18500;6;DIRECT_LOW;;0.8693;0.1828
https://city2city.ru/kazan-chajkovskij;Казань;Чайковский;13800;6;DIRECT_LOW;4;0.8488;0.1828
https://city2city.ru/kazan-saransk;Международный аэропорт Казань;Саранск;12000;6;DIRECT_LOW;;0.1696;0.1828
https://city2city.ru/krasnoyarsk-sorsk;Красноярск;Сорск;13800;6;DIRECT_LOW;3;0.8681;0.1828
https://city2city.ru/novosibirsk-zmeinogorsk;Новосибирск;Змеиногорск;17000;6;DIRECT_LOW;;0.8686;0.1828
https://city2city.ru/ufa-vyatskie-polyany;Уфа;Вятские Поляны;14000;6;DIRECT_LOW;;0.8662;0.1828
https://city2city.ru/penza-belgorod;Пенза;Белгород;23000;6;DIRECT_LOW;26;0.8782;0.1828
https://city2city.ru/yakutsk-irkutsk;Якутск;Иркутск;95000;6;DIRECT_LOW;1;0.7567;0.1828
https://city2city.ru/vladimir-sankt-peterburg;Владимир;Санкт-Петербург;26500;6;DIRECT_LOW;;0.967;0.1828
https://city2city.ru/novosibirsk-gurevsk;Новосибирск;Гурьевск;135000;6;DIRECT_LOW;;0.7517;0.1828
https://city2city.ru/perm-kurgan;Пермь;Курган;21900;6;DIRECT_LOW;2;0.8721;0.1828
https://city2city.ru/novosibirsk-divnogorsk;Новосибирск;Дивногорск;23500;6;DIRECT_LOW;;0.8695;0.1828
https://city2city.ru/perm-sochi;Пермь;Сочи;80000;6;DIRECT_LOW;;0.8632;0.1828
https://city2city.ru/moskva-buzuluk;Москва;Бузулук;37500;6;DIRECT_LOW;;0.8477;0.1828
https://city2city.ru/ekaterinburg-tolyatti;Екатеринбург;Тольятти;28000;6;DIRECT_LOW;;0.9164;0.1828
https://city2city.ru/lugansk-kursk;Луганск;Курск;23000;6;DIRECT_LOW;;0.8816;0.1828
https://city2city.ru/moskva-tobolsk;Москва;Тобольск;67500;6;DIRECT_LOW;5;0.846;0.1828
https://city2city.ru/ulyanovsk-izhevsk;Ульяновск;Ижевск;17000;6;DIRECT_LOW;;0.8735;0.1828
https://city2city.ru/krasnoyarsk-chita;Красноярск;Чита;64000;6;DIRECT_LOW;21;0.8658;0.1828
https://city2city.ru/novosibirsk-mariinsk;Новосибирск;Мариинск;15000;6;DIRECT_LOW;;0.871;0.1828
https://city2city.ru/barnaul-yarovoe;Барнаул;Яровое;13500;6;DIRECT_LOW;;0.5925;0.1828
https://city2city.ru/kazan-voronezh;Казань;Воронеж;31000;6;DIRECT_LOW;;0.9135;0.1828
https://city2city.ru/chelyabinsk-pervomajskij;Челябинск;посёлок Первомайский;50000;6;DIRECT_LOW;;0.7719;0.1828
https://city2city.ru/rostov-nizhnekamsk;Ростов-на-Дону;Нижнекамск;48500;6;DIRECT_LOW;;0.816;0.1828
https://city2city.ru/ufa-saransk;Уфа;Саранск;25000;6;DIRECT_LOW;;0.8708;0.1828
https://city2city.ru/blagoveshhensk-obluche;Благовещенск;Облучье;11000;6;DIRECT_LOW;10;0.4554;0.1828
https://city2city.ru/krasnoyarsk-tulun;Красноярск;Тулун;20000;6;DIRECT_LOW;25;0.7497;0.1828
https://city2city.ru/omsk-barnaul;Омск;Барнаул;26200;6;DIRECT_LOW;5;0.8751;0.1828
https://city2city.ru/kaluga-belgorod;Калуга;Белгород;15500;6;DIRECT_LOW;;0.85;0.1828
https://city2city.ru/bryansk-simferopol;Брянск;Симферополь;51500;6;DIRECT_LOW;;0.9217;0.1828
https://city2city.ru/volgograd-penza;Волгоград;Пенза;17500;6;DIRECT_LOW;;0.9864;0.1828
https://city2city.ru/saransk-kazan;Саранск;Казань;12500;6;DIRECT_LOW;;0.7514;0.1828
https://city2city.ru/astraxan-tambov;Астрахань;Тамбов;28500;6;DIRECT_LOW;;0.9226;0.1828
https://city2city.ru/rostov-gorod-zernograd;Ростов-на-Дону;Зерноград;38500;6;DIRECT_LOW;;0.8152;0.1828
https://city2city.ru/kursk-boguchar;Курск;Богучар;14000;6;DIRECT_LOW;;0.8767;0.1828
https://city2city.ru/vladimir-oryol;Владимир;Орёл;16500;6;DIRECT_LOW;6;0.9737;0.1828
https://city2city.ru/omsk-kemerovo;Омск;Кемерово;27000;6;DIRECT_LOW;11;0.8717;0.1828
https://city2city.ru/chelyabinsk-kursk;Челябинск;Курск;59700;6;DIRECT_LOW;2;0.9231;0.1828
https://city2city.ru/novosibirsk-uyar;Новосибирск;Уяр;31500;6;DIRECT_LOW;6;0.8686;0.1828
https://city2city.ru/perm-sankt-peterburg;Пермь;Санкт-Петербург;66000;6;DIRECT_LOW;;0.858;0.1828
https://city2city.ru/tyumen-nizhnij-tagil;Тюмень;Нижний Тагил;13200;6;DIRECT_LOW;2;0.8608;0.1828
https://city2city.ru/kursk-kaluga;Курск;Калуга;11000;6;DIRECT_LOW;;0.8752;0.1828
https://city2city.ru/vladimir-oboyan;Владимир;Обоянь;23400;6;DIRECT_LOW;6;0.8565;0.1828
https://city2city.ru/voronezh-kazan;Воронеж;Казань;31500;6;DIRECT_LOW;18;0.8663;0.1828
https://city2city.ru/sankt-peterburg-tambov;Санкт-Петербург;Тамбов;35100;6;DIRECT_LOW;9;0.8601;0.1828
https://city2city.ru/novosibirsk-anzhero-sudzhensk;Новосибирск;Анжеро-Судженск;10500;6;DIRECT_LOW;;0.8701;0.1828
https://city2city.ru/rostov-maxachkala;Ростов-на-Дону;Махачкала;27500;6;DIRECT_LOW;;0.816;0.1828
https://city2city.ru/astraxan-sevastopol;Астрахань;Севастополь;40500;6;DIRECT_LOW;;0.9222;0.1828
https://city2city.ru/barnaul-abakan;Барнаул;Абакан;34000;6;DIRECT_LOW;;0.9238;0.1828
https://city2city.ru/tomsk-achinsk;Томск;Ачинск;12500;6;DIRECT_LOW;;0.7582;0.1828
https://city2city.ru/ivanovo-kamenka;Иваново;Каменка;19000;6;DIRECT_LOW;;0.839;0.1828
https://city2city.ru/vladivostok-dalnerechensk;Владивосток;Дальнереченск;12300;6;DIRECT_LOW;4;0.8732;0.1828
https://city2city.ru/moskva-tujmazy;Москва;Туймазы;35000;6;DIRECT_LOW;;0.8477;0.1828
https://city2city.ru/novosibirsk-achinsk;Новосибирск;Ачинск;18500;6;DIRECT_LOW;;0.9862;0.1828
https://city2city.ru/tambov-kazan;Тамбов;Казань;24900;6;DIRECT_LOW;11;0.9862;0.1828
https://city2city.ru/krasnoyarsk-chernogorsk;Красноярск;Черногорск;11700;6;DIRECT_LOW;1;0.7522;0.1828
https://city2city.ru/ekaterinburg-plast;Екатеринбург;Пласт;10000;6;DIRECT_LOW;;0.9157;0.1828
https://city2city.ru/ekaterinburg-lysva;Екатеринбург;Лысьва;11500;6;DIRECT_LOW;;0.7767;0.1828
https://city2city.ru/rostov-tambov;Ростов-на-Дону;Тамбов;22500;6;DIRECT_LOW;;0.932;0.1828
https://city2city.ru/pskov-kursk;Псков;Курск;29700;6;DIRECT_LOW;4;0.9922;0.1828
https://city2city.ru/sankt-peterburg-perm;Санкт-Петербург;Пермь;66000;6;DIRECT_LOW;;0.9758;0.1828
https://city2city.ru/belgorod-kaluga;Белгород;Калуга;15000;6;DIRECT_LOW;;0.9213;0.1828
https://city2city.ru/moskva-roslavl;Москва;Рославль;12000;6;DIRECT_LOW;;0.9629;0.1828
https://city2city.ru/barnaul-kyzyl;Барнаул;Кызыл;45500;6;DIRECT_LOW;2;0.6401;0.1828
https://city2city.ru/orenburg-belebej;Оренбург;Белебей;12000;6;DIRECT_LOW;3;0.7594;0.1828
https://city2city.ru/tula-yaroslavl;Тула;Ярославль;13500;6;DIRECT_LOW;;0.8712;0.1828
https://city2city.ru/belgorod-velikij-novgorod;Белгород;Великий Новгород;35800;6;DIRECT_LOW;5;0.9035;0.1828
https://city2city.ru/belgorod-penza;Белгород;Пенза;23000;6;DIRECT_LOW;;0.9227;0.1828
https://city2city.ru/stavropol-kerch;Ставрополь;Керчь;16500;6;DIRECT_LOW;;0.9932;0.1828
https://city2city.ru/tambov-sankt-peterburg;Тамбов;Санкт-Петербург;35100;6;DIRECT_LOW;4;0.9769;0.1828
https://city2city.ru/penza-volgograd;Пенза;Волгоград;17500;6;DIRECT_LOW;;0.8697;0.1828
https://city2city.ru/saratov-saransk;Саратов;Саранск;11000;6;DIRECT_LOW;;0.8746;0.1828
https://city2city.ru/tula-boloxovo;Тула;Болохово;29500;6;DIRECT_LOW;;0.9936;0.1828
https://city2city.ru/xabarovsk-amursk;Хабаровск;Амурск;12900;6;DIRECT_LOW;1;0.6389;0.1828
https://city2city.ru/oryol-vladimir;Орёл;Владимир;16500;6;DIRECT_LOW;4;0.8556;0.1828
https://city2city.ru/rostov-vladikavkaz;Ростов-на-Дону;Владикавказ;21000;6;DIRECT_LOW;;0.9337;0.1828
https://city2city.ru/omsk-kuybyshev;Омск;Куйбышев;48500;6;DIRECT_LOW;;0.8734;0.1828
https://city2city.ru/kursk-chelyabinsk;Курск;Челябинск;59400;6;DIRECT_LOW;10;0.8707;0.1828
https://city2city.ru/kurgan-perm;Курган;Пермь;21900;6;DIRECT_LOW;3;0.8722;0.1828
https://city2city.ru/barnaul-krasnoyarsk;Барнаул;Красноярск;27600;6;DIRECT_LOW;3;0.8436;0.1828
https://city2city.ru/kursk-pskov;Курск;Псков;29800;6;DIRECT_LOW;2;0.9923;0.1828
https://city2city.ru/yaroslavl-tula;Ярославль;Тула;13500;6;DIRECT_LOW;;0.9889;0.1828
https://city2city.ru/samara-surgut;Самара;Сургут;61000;6;DIRECT_LOW;;0.7511;0.1828
https://city2city.ru/kazan-buzuluk;Казань;Бузулук;14500;6;DIRECT_LOW;;0.8476;0.1828
https://city2city.ru/omsk-kupino;Омск;Купино;14000;6;DIRECT_LOW;2;0.7586;0.1828
https://city2city.ru/stavropol-simferopol;Ставрополь;Симферополь;22000;6;DIRECT_LOW;;0.8749;0.1828
https://city2city.ru/bryansk-sankt-peterburg;Брянск;Санкт-Петербург;32400;6;DIRECT_LOW;;0.9052;0.1828
https://city2city.ru/pskov-lipeczk;Псков;Липецк;35700;5;DIRECT_LOW;6;0.9932;0.1683
https://city2city.ru/orenburg-volgograd;Оренбург;Волгоград;35800;5;DIRECT_LOW;4;0.8688;0.1683
https://city2city.ru/ufa-kursk;Уфа;Курск;47500;5;DIRECT_LOW;;0.9885;0.1683
https://city2city.ru/tambov-volgograd;Тамбов;Волгоград;15800;5;DIRECT_LOW;5;0.989;0.1683
https://city2city.ru/ulyanovsk-sochi;Ульяновск;Сочи;55000;5;DIRECT_LOW;;0.8641;0.1683
https://city2city.ru/kursk-tambov;Курск;Тамбов;14000;5;DIRECT_LOW;25;0.8743;0.1683
https://city2city.ru/smolensk-ryazan;Смоленск;Рязань;17700;5;DIRECT_LOW;1;0.9907;0.1683
https://city2city.ru/oryol-ryazan;Орёл;Рязань;11000;5;DIRECT_LOW;;0.8727;0.1683
https://city2city.ru/stavropol-nizhnij-novgorod;Ставрополь;Нижний Новгород;46000;5;DIRECT_LOW;;0.8608;0.1683
https://city2city.ru/yakutsk-krasnoyarsk;Якутск;Красноярск;126000;5;DIRECT_LOW;15;0.7485;0.1683
https://city2city.ru/volgograd-tambov;Волгоград;Тамбов;15800;5;DIRECT_LOW;10;0.8705;0.1683
https://city2city.ru/orenburg-nizhnekamsk;Оренбург;Нижнекамск;17200;5;DIRECT_LOW;2;0.8727;0.1683
https://city2city.ru/rostov-yalta;Ростов-на-Дону;Ялта;23000;5;DIRECT_LOW;;0.816;0.1683
https://city2city.ru/ryazan-smolensk;Рязань;Смоленск;17700;5;DIRECT_LOW;12;0.8739;0.1683
https://city2city.ru/astraxan-gelendzhik;Астрахань;Геленджик;29400;5;DIRECT_LOW;8;0.7816;0.1683
https://city2city.ru/kirov-arxangelsk;Киров;Архангельск;34000;5;DIRECT_LOW;28;0.8738;0.1683
https://city2city.ru/vladivostok-chita;Владивосток;Чита;86000;5;DIRECT_LOW;16;0.754;0.1683
https://city2city.ru/nizhnij-novgorod-rossosh;Нижний Новгород;Россошь;28500;5;DIRECT_LOW;6;0.8648;0.1683
https://city2city.ru/chelyabinsk-rostov-na-donu;Челябинск;Ростов-на-Дону;64000;5;DIRECT_LOW;;0.7917;0.1683
https://city2city.ru/ufa-anapa;Уфа;Анапа;65000;5;DIRECT_LOW;;0.9889;0.1683
https://city2city.ru/sankt-peterburg-kaluga;Санкт-Петербург;Калуга;25600;5;DIRECT_LOW;5;0.977;0.1683
https://city2city.ru/voronezh-kostroma;Воронеж;Кострома;25500;5;DIRECT_LOW;12;0.9883;0.1683
https://city2city.ru/kostroma-rostov-velikij;Кострома;Ростов;42500;5;DIRECT_LOW;3;0.9766;0.1683
https://city2city.ru/kostroma-ryazan;Кострома;Рязань;13500;5;DIRECT_LOW;;0.9915;0.1683
https://city2city.ru/ulyanovsk-saratov;Ульяновск;Саратов;13800;5;DIRECT_LOW;4;0.8715;0.1683
https://city2city.ru/izhevsk-chelyabinsk;Ижевск;Челябинск;22600;5;DIRECT_LOW;6;0.9189;0.1683
https://city2city.ru/penza-sochi;Пенза;Сочи;44000;5;DIRECT_LOW;23;0.8647;0.1683
https://city2city.ru/voronezh-anapa;Воронеж;Анапа;29500;5;DIRECT_LOW;;0.7529;0.1683
https://city2city.ru/bryansk-nizhnij-novgorod;Брянск;Нижний Новгород;24600;5;DIRECT_LOW;;0.8407;0.1683
https://city2city.ru/belgorod-ufa;Белгород;Уфа;48000;5;DIRECT_LOW;;0.9172;0.1683
https://city2city.ru/ryazan-saransk;Рязань;Саранск;13500;5;DIRECT_LOW;;0.8766;0.1683
https://city2city.ru/lugansk-chelyabinsk;Луганск;Челябинск;63500;5;DIRECT_LOW;;0.88;0.1683
https://city2city.ru/ryazan-kostroma;Рязань;Кострома;14000;5;DIRECT_LOW;;0.9912;0.1683
https://city2city.ru/krasnoyarsk-ust-ilimsk;Красноярск;Усть-Илимск;29000;5;DIRECT_LOW;20;0.8673;0.1683
https://city2city.ru/ivanovo-ekaterinburg;Иваново;Екатеринбург;45500;5;DIRECT_LOW;;0.9732;0.1683
https://city2city.ru/sankt-peterburg-cheboksary;Санкт-Петербург;Чебоксары;41000;5;DIRECT_LOW;;0.9766;0.1683
https://city2city.ru/samara-astraxan;Самара;Астрахань;36900;5;DIRECT_LOW;20;0.9879;0.1683
https://city2city.ru/orenburg-rostov-na-donu;Оренбург;Ростов-на-Дону;50100;5;DIRECT_LOW;12;0.816;0.1683
https://city2city.ru/chelyabinsk-izhevsk;Челябинск;Ижевск;22600;5;DIRECT_LOW;5;0.9189;0.1683
https://city2city.ru/krasnoyarsk-yakutsk;Красноярск;Якутск;126000;5;DIRECT_LOW;24;0.8658;0.1683
https://city2city.ru/blagoveshhensk-chita;Благовещенск;Чита;45600;5;DIRECT_LOW;1;0.7799;0.1683
https://city2city.ru/kursk-penza;Курск;Пенза;22000;5;DIRECT_LOW;;0.994;0.1683
https://city2city.ru/tyumen-nyagan;Тюмень;Нягань;29000;5;DIRECT_LOW;;0.7559;0.1683
https://city2city.ru/krasnoyarsk-vladivostok;Красноярск;Владивосток;132000;5;DIRECT_LOW;21;0.8663;0.1683
https://city2city.ru/saratov-ulyanovsk;Саратов;Ульяновск;14000;5;DIRECT_LOW;14;0.9892;0.1683
https://city2city.ru/krasnoyarsk-mariinsk;Красноярск;Мариинск;11000;5;DIRECT_LOW;;0.6322;0.1683
https://city2city.ru/krasnoyarsk-barnaul;Красноярск;Барнаул;27600;5;DIRECT_LOW;2;0.8663;0.1683
https://city2city.ru/syktyvkar-usinsk;Сыктывкар;Усинск;22000;5;DIRECT_LOW;21;0.8797;0.1683
https://city2city.ru/kursk-vologda;Курск;Вологда;29500;5;DIRECT_LOW;;0.9915;0.1683
https://city2city.ru/perm-neftekamsk;Пермь;Нефтекамск;11000;5;DIRECT_LOW;;0.7578;0.1683
https://city2city.ru/tyumen-samara;Тюмень;Самара;37000;5;DIRECT_LOW;2;0.8677;0.1683
https://city2city.ru/yakutsk-ulan-ude;Якутск;Улан-Удэ;81800;5;DIRECT_LOW;1;0.8743;0.1683
https://city2city.ru/orenburg-syzran;Оренбург;Сызрань;17500;5;DIRECT_LOW;;0.8759;0.1683
https://city2city.ru/samara-sterlitamak;Самара;Стерлитамак;15800;5;DIRECT_LOW;1;0.9875;0.1683
https://city2city.ru/kazan-sorochinsk;Казань;Сорочинск;17500;5;DIRECT_LOW;;0.7796;0.1683
https://city2city.ru/krasnoyarsk-ekaterinburg;Красноярск;Екатеринбург;71000;5;DIRECT_LOW;2;0.98;0.1683
https://city2city.ru/tyumen-kazan;Тюмень;Казань;36800;5;DIRECT_LOW;7;0.8686;0.1683
https://city2city.ru/ivanovo-tula;Иваново;Тула;14000;5;DIRECT_LOW;;0.9752;0.1683
https://city2city.ru/perm-naberezhnye-chelny;Пермь;Набережные Челны;14000;5;DIRECT_LOW;;0.8696;0.1683
https://city2city.ru/tyumen-uraj;Тюмень;Урай;14400;5;DIRECT_LOW;1;0.8736;0.1683
https://city2city.ru/ivanovo-sankt-peterburg;Иваново;Санкт-Петербург;26800;5;DIRECT_LOW;7;0.8276;0.1683
https://city2city.ru/bryansk-rossosh;Брянск;Россошь;19000;5;DIRECT_LOW;;0.7816;0.1683
https://city2city.ru/izhevsk-tolyatti;Ижевск;Тольятти;17600;5;DIRECT_LOW;1;0.85;0.1683
https://city2city.ru/cheboksary-sosnovka;Чебоксары;Сосновка;10000;5;DIRECT_LOW;;0.6646;0.1683
https://city2city.ru/ufa-kurgan;Уфа;Курган;20800;5;DIRECT_LOW;5;0.9887;0.1683
