page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count
https://city2city.ru/lugansk-ufa;Луганск;Уфа;такси Луганск Уфа;10;луганск уфа такси;10
https://city2city.ru/svo-taxi-lugansk-lutugino;Луганск;Лутугино;такси Луганск Лутугино;10;такси луганск лутугино;10
https://city2city.ru/svo-taxi-lutugino-lugansk;Лутугино;Луганск;такси Лутугино Луганск;10;такси луганск лутугино;10
https://city2city.ru/svo-taxi-rossosh-starobelsk;Россошь;Старобельск;такси Россошь Старобельск;10;такси россошь старобельск;10
https://city2city.ru/donetsk-orenburg;Донецк;Оренбург;такси Донецк Оренбург;9;такси оренбург донецк;9
https://city2city.ru/tumen-hanty-mansiysk;аэропорт Тюмень (Рощино);Ханты-Мансийск;такси Тюмень Ханты-Мансийск;9;;0
https://city2city.ru/svo-taxi-rostov-na-donu-antratsit;Ростов-на-Дону;Антрацит;такси Ростов-на-Дону Антрацит;8;;0
https://city2city.ru/svo-taxi-tokmak-melitopol;Токмак;Мелитополь;такси Токмак Мелитополь;8;такси мелитополь токмак;8
https://city2city.ru/donetsk-ekaterinburg;Донецк;Екатеринбург;такси Донецк Екатеринбург;7;такси донецк екатеринбург;7
https://city2city.ru/melitopol-ryazan;Мелитополь;Рязань;такси Мелитополь Рязань;7;;0
https://city2city.ru/svo-taxi-bryanka-lugansk;Брянка;Луганск;такси Брянка Луганск;7;такси луганск брянка;7
https://city2city.ru/svo-taxi-millerovo-donetsk;Миллерово;Донецк;такси Миллерово Донецк;7;;0
https://city2city.ru/svo-taxi-rossosh-smolensk;Россошь;Смоленск;такси Россошь Смоленск;7;такси россошь смоленск;7
https://city2city.ru/svo-taxi-rostov-na-donu-snezhnoe;Ростов-на-Дону;Снежное;такси Ростов-на-Дону Снежное;7;такси снежное ростов на дону;7
https://city2city.ru/svo-taxi-snezhnoe-rostov-na-donu;Снежное;Ростов-на-Дону;такси Снежное Ростов-на-Дону;7;такси снежное ростов на дону;7
https://city2city.ru/kazan-saransk;Международный аэропорт Казань;Саранск;такси Казань Саранск;6;;0
https://city2city.ru/lugansk-kursk;Луганск;Курск;такси Луганск Курск;6;такси луганск курск;6
https://city2city.ru/svo-taxi-donetsk-starobeshevo;Донецк;Старобешево;такси Донецк Старобешево;6;такси старобешево донецк;6
https://city2city.ru/svo-taxi-lugansk-antratsit;Луганск;Антрацит;такси Луганск Антрацит;6;такси антрацит луганск;6
