url	gorod1	gorod2	rasstoyanie
https://city2city.ru/kurgan-krasnyj.html	Курган	поселок городского типа Красный	70
https://city2city.ru/kurgan-matveev-kurgan.html	Курган	посёлок Матвеев Курган	2500
https://city2city.ru/kursk-moskva.html	Курск	Москва	530
https://city2city.ru/mariupol-simferopol.html	Мариуполь	Симферополь	450
https://city2city.ru/melitopol-simferopol.html	Мелитополь	Симферополь	250
https://city2city.ru/melitopol-tula.html	Мелитополь	Тула	1300
https://city2city.ru/moskva-aleksandrov.html	Москва	Александров	130
https://city2city.ru/moskva-astraxan.html	Москва	Астрахань	1450
https://city2city.ru/moskva-belgorod.html	Москва	Белгород	690
https://city2city.ru/moskva-belyj.html	Москва	Белый	400
https://city2city.ru/moskva-bogorodskoe.html	Москва	посёлок городского типа Богородское	870
https://city2city.ru/moskva-bryansk.html	Москва	Брянск	420
https://city2city.ru/moskva-cheboksary.html	Москва	Чебоксары	730
https://city2city.ru/moskva-czentralnyj.html	Москва	поселок городского типа Центральный	400
https://city2city.ru/moskva-dmitriev.html	Москва	Дмитриев	510
https://city2city.ru/moskva-dzerzhinsk.html	Москва	Дзержинск	440
https://city2city.ru/moskva-dzhankoj.html	Москва	Джанкой	1700
https://city2city.ru/moskva-gryazi.html	Москва	Грязи	520
https://city2city.ru/moskva-ivanovo.html	Москва	Иваново	320
https://city2city.ru/moskva-izhevsk.html	Москва	Ижевск	1200
https://city2city.ru/moskva-izmajlovo.html	Москва	поселок городского типа Измайлово	40
https://city2city.ru/moskva-kaluga.html	Москва	городской округ Калуга	220
https://city2city.ru/moskva-kashin.html	Москва	Кашин	270
https://city2city.ru/moskva-kirov.html	Москва	Киров	950
https://city2city.ru/moskva-kirzhach.html	Москва	Киржач	150
https://city2city.ru/moskva-komsomolskij.html	Москва	поселок городского типа Комсомольский	1600
https://city2city.ru/moskva-kostroma.html	Москва	Кострома	350
https://city2city.ru/moskva-kozelsk.html	Москва	Козельск	280
https://city2city.ru/moskva-krasnogvardejskoe.html	Москва	село Красногвардейское	1800
https://city2city.ru/moskva-krasnyj.html	Москва	Красный проспект	1030
https://city2city.ru/moskva-leningradskaya.html	Москва	станица Ленинградская	1240
https://city2city.ru/moskva-leninskoe.html	Москва	посёлок городского типа Ленинское	760
https://city2city.ru/moskva-luga.html	Москва	Луга	680
https://city2city.ru/moskva-magnitnyj.html	Москва	посёлок Магнитный	460
https://city2city.ru/moskva-melenki.html	Москва	Меленки	340
https://city2city.ru/moskva-michurinsk.html	Москва	Мичуринск	417
https://city2city.ru/moskva-nigniy_novgorod.html	Москва	Нижний Новгород	460
https://city2city.ru/moskva-oktyabrskij.html	Москва	посёлок совхоза Октябрьский	1180
https://city2city.ru/moskva-orel.html	Москва	Орёл	370
https://city2city.ru/moskva-orlov.html	Москва	Орлов	880
https://city2city.ru/moskva-otradnaya.html	Москва	станица Отрадная	1500
https://city2city.ru/moskva-otradnoe.html	Москва	Отрадное	700
https://city2city.ru/moskva-otradnyj.html	Москва	Отрадный	1100
https://city2city.ru/moskva-pavlovskaya.html	Москва	станица Павловская	1250
https://city2city.ru/moskva-pavlovskij.html	Москва	рабочий посёлок Павловский	1370
https://city2city.ru/moskva-pervomajskij.html	Москва	посёлок Первомайский	210
https://city2city.ru/moskva-petrozavodsk.html	Москва	Петрозаводск	1030
https://city2city.ru/moskva-rodniki.html	Москва	Родники	370
https://city2city.ru/moskva-rossosh.html	Москва	Россошь	750
https://city2city.ru/moskva-rostov-na-don.html	Москва	Ростов-на-Дону	1100
https://city2city.ru/moskva-saratov.html	Москва	Саратов	860
https://city2city.ru/moskva-sevastopol.html	Москва	Севастополь	1900
https://city2city.ru/moskva-simferopol.html	Москва	Симферополь	1800
https://city2city.ru/moskva-smolensk.html	Москва	Смоленск	402
https://city2city.ru/moskva-sochi.html	Москва	Сочи	1650
https://city2city.ru/moskva-troiczk.html	Москва	Троицк	50
https://city2city.ru/moskva-tulskij.html	Москва	посёлок Тульский	1450
https://city2city.ru/moskva-tyoploe.html	Москва	рабочий посёлок Тёплое	260
https://city2city.ru/moskva-ufa.html	Москва	Уфа	1350
https://city2city.ru/moskva-ulyanovsk.html	Москва	Ульяновск	850
https://city2city.ru/moskva-vodnyj.html	Москва	посёлок городского типа Водный	195
https://city2city.ru/moskva-volgograd.html	Москва	Волгоград	990
https://city2city.ru/moskva-volna.html	Москва	посёлок Волна	1600
https://city2city.ru/moskva-volzhskij.html	Москва	посёлок городского типа Волжский	1050
https://city2city.ru/moskva-vostochnyj.html	Москва	посёлок городского типа Восточный	30
https://city2city.ru/moskva-vyksa.html	Москва	Выкса	390
https://city2city.ru/moskva-vysokij.html	Москва	посёлок городского типа Высокий	3000
https://city2city.ru/murmansk-severomorsk.html	Мурманск	Североморск	30
https://city2city.ru/nizhnij-novgorod-bogorodsk.html	Нижний Новгород	Богородск	60
https://city2city.ru/nizhnij-novgorod-volna.html	Нижний Новгород	посёлок Волна	1750
https://city2city.ru/novosibirsk-gorno-altaysk.html	Новосибирск	Горно-Алтайск	450
https://city2city.ru/novosibirsk-novokuznetsk.html	Новосибирск	Новокузнецк	370
https://city2city.ru/novosibirsk-omsk.html	Новосибирск	Омск	650
https://city2city.ru/orenburg-belyj.html	Оренбург	Белый	1630
https://city2city.ru/oryol-kirov.html	Орёл	Киров	1350
https://city2city.ru/oryol-kirovskij.html	Орёл	поселок городского типа Кировский	1430
https://city2city.ru/oryol-komsomolskij.html	Орёл	рабочий посёлок Комсомольский	900
https://city2city.ru/oryol-orlov.html	Орёл	Орлов	1280
https://city2city.ru/oryol-rovnoe.html	Орёл	поселок городского типа Ровное	920
https://city2city.ru/penza-zarechnyj.html	Пенза	Заречный	20
https://city2city.ru/perm-gagarin.html	Пермь	Гагарин	1303
https://city2city.ru/pskov-novgorod.html	Псков	Великий Новгород	220
https://city2city.ru/pskov-strizhi.html	Псков	деревня Стрижи	800
https://city2city.ru/rostov-armavir.html	Ростов-на-Дону	Армавир	300
https://city2city.ru/rostov-belyj.html	Ростов-на-Дону	Белый	1480
https://city2city.ru/rostov-doneck.html	аэропорт Платов	Донецк	220
https://city2city.ru/rostov-kirov.html	Ростов-на-Дону	Киров	1800
https://city2city.ru/rostov-krasnyj.html	Ростов-на-Дону	поселок городского типа Красный	120
https://city2city.ru/rostov-kursk.html	Ростов-на-Дону	Курск	800
https://city2city.ru/rostov-lyubim.html	Ростов-на-Дону	Любим	1520
https://city2city.ru/rostov-svobodnyj.html	Ростов-на-Дону	поселок Свободный	1520
https://city2city.ru/ryazan-domodedovo.html	Рязань	Домодедово	870
https://city2city.ru/ryazan-moskva.html	Рязань	Москва	210
https://city2city.ru/ryazan-radishhevo.html	Рязань	посёлок городского типа Радищево	700
https://city2city.ru/ryazan-rybnoe.html	Рязань	Рыбное	30
https://city2city.ru/samara-aeroport-kurumoch.html	Самара	аэропорт Самара (Курумоч)	40
https://city2city.ru/samara-otradnaya.html	Самара	станица Отрадная	100
https://city2city.ru/samara-pervomajsk.html	Самара	Первомайск	2100
https://city2city.ru/sankt-peterburg-belyj.html	Санкт-Петербург	Белый	800
https://city2city.ru/sankt-peterburg-krasnogvardejskoe.html	Санкт-Петербург	село Красногвардейское	2100
https://city2city.ru/sankt-peterburg-krasnyj.html	Санкт-Петербург	поселок городского типа Красный	1830
https://city2city.ru/sankt-peterburg-leningradskaya.html	Санкт-Петербург	станица Ленинградская	1920
https://city2city.ru/sankt-peterburg-oktyabrskoe.html	Санкт-Петербург	посёлок городского типа Октябрьское	2500
