page_url;city_from;city_to;price;distance_km;total_freq;freq_taksi;freq_transfer;freq_mezhgorod;freq_cena;max_phrase;max_count;in_direct;direct_strategy;segment;sub_segment
https://city2city.ru/kazan-elabuga;Казань;;6300;210;42076;35681;3250;1629;1516;такси Казань ;35681;NO;;SEO;SEO_GOLD
https://city2city.ru/kazan-leninogorsk;Казань;;8700;290;42076;35681;3250;1629;1516;такси Казань ;35681;NO;;SEO;SEO_GOLD
https://city2city.ru/ekaterinburg-sibaj;Екатеринбург;;17700;590;40889;36663;1495;1356;1375;такси Екатеринбург ;36663;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/ekaterinburg-irbit;Екатеринбург;;6200;205;40889;36663;1495;1356;1375;такси Екатеринбург ;36663;NO;;SEO;SEO_GOLD
https://city2city.ru/cheljabinsk-uchaly;Челябинск;;6300;190;28072;24846;1549;836;841;такси Челябинск ;24846;NO;;SEO;SEO_GOLD
https://city2city.ru/cheljabinsk-sibaj;Челябинск;;11400;380;28072;24846;1549;836;841;такси Челябинск ;24846;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/cheljabinsk-beloreck;Челябинск;;8600;285;28072;24846;1549;836;841;такси Челябинск ;24846;NO;;SEO;SEO_GOLD
https://city2city.ru/cheljabinsk-magnitogorsk;Челябинск;;9300;310;28072;24846;1549;836;841;такси Челябинск ;24846;NO;;SEO;SEO_GOLD
https://city2city.ru/cheljabinsk-kurgan;Челябинск;;8100;270;28072;24846;1549;836;841;такси Челябинск ;24846;NO;;SEO;SEO_GOLD
https://city2city.ru/donetsk-perm;Донецк;;66500;2220;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-tambov;Донецк;;26000;870;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-orenburg;Донецк;;53000;1770;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-volgograd;Донецк;;18600;620;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-kirov;Донецк;;56000;1860;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-maykop;Донецк;;22000;540;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-saratov;Донецк;;29000;970;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-ufa;Донецк;;57300;1910;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-ekaterinburg;Донецк;;68500;2280;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-chelyabinsk;Донецк;;67500;2250;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-saransk;Донецк;;35000;1160;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-kazan;Донецк;;47500;1580;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/donetsk-yoshkar-ola;Донецк;;47000;1560;10273;9553;180;141;399;такси Донецк ;9553;NO;;DIRECT;DIRECT_PRIORITY
https://city2city.ru/bratsk-irkutsk;Братск;Иркутск;18500;620;1371;1197;4;58;112;такси Братск Иркутск;1197;YES;ДИНАМИЧЕСКИЕ_ОБЪЯВЛЕНИЯ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/izhevsk-kazan;Ижевск;Казань;11000;365;1026;128;856;8;34;трансфер Ижевск Казань;856;YES;ТОЧНЫЕ_КЛЮЧИ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/ekaterinburg-chelyabinsk-2;Екатеринбург;Челябинск;6500;210;962;642;180;62;78;такси Екатеринбург Челябинск;642;NO;;SEO;SEO_GOLD
https://city2city.ru/chelyabinsk-ekaterinburg;Челябинск;Екатеринбург;6300;210;962;642;180;62;78;такси Челябинск Екатеринбург;642;NO;;SEO;SEO_GOLD
https://city2city.ru/enisejsk-krasnojarsk;Енисейск;Красноярск;10200;340;535;483;5;35;12;такси Енисейск Красноярск;483;YES;ДИНАМИЧЕСКИЕ_ОБЪЯВЛЕНИЯ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/elista-volgograd;Элиста;Волгоград;8800;295;456;115;330;3;8;трансфер Элиста Волгоград;330;NO;;SEO;SEO_INVEST
https://city2city.ru/kazan-moskva;Казань;Москва;24300;810;399;280;27;40;52;такси Казань Москва;280;YES;ТОЧНЫЕ_КЛЮЧИ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/izhevsk-ufa;Ижевск;Уфа;10200;340;384;122;234;15;13;трансфер Ижевск Уфа;234;YES;ТОЧНЫЕ_КЛЮЧИ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/belgorod-moskva;Белгород;Москва;19800;660;365;298;13;1;53;такси Белгород Москва;298;YES;ТОЧНЫЕ_КЛЮЧИ;DIRECT;DIRECT_PRIORITY
https://city2city.ru/ekaterinburg-irbit-2;Екатеринбург;Ирбит;6200;205;341;250;0;68;23;такси Екатеринбург Ирбит;250;NO;;SEO;SEO_INVEST
https://city2city.ru/joshkar-ola-kazan;Йошкар-Ола;Казань;4500;145;325;198;82;5;40;такси Йошкар-Ола Казань;198;NO;;SEO;SEO_INVEST
https://city2city.ru/ekaterinburg-tyumen;Екатеринбург;Тюмень;9900;330;303;198;48;23;34;такси Екатеринбург Тюмень;198;NO;;SEO;SEO_INVEST
https://city2city.ru/kemerovo-novosibirsk;Кемерово;Новосибирск;7800;260;299;161;95;11;32;такси Кемерово Новосибирск;161;NO;;SEO;SEO_INVEST
https://city2city.ru/blagoveshhensk-svobodnyj;Благовещенск;Свободный;5100;155;297;264;11;12;10;такси Благовещенск Свободный;264;NO;;SEO;SEO_INVEST
