city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Курган;https://city2city.ru/aeroport-kolczovo-kurgan;такси {city_from} {city_to} цена;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Курган цена;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Миасс;https://city2city.ru/aeroport-kolczovo-miass;такси {city_from} {city_to};такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Миасс;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Миасс;https://city2city.ru/aeroport-kolczovo-miass;трансфер {city_from} {city_to};трансфер аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Миасс;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Миасс;https://city2city.ru/aeroport-kolczovo-miass;межгород {city_from} {city_to};межгород аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Миасс;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Миасс;https://city2city.ru/aeroport-kolczovo-miass;такси {city_from} {city_to} цена;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Миасс цена;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Нижний Тагил;https://city2city.ru/aeroport-kolczovo-nizhnij-tagil;такси {city_from} {city_to};такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Нижний Тагил;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Нижний Тагил;https://city2city.ru/aeroport-kolczovo-nizhnij-tagil;трансфер {city_from} {city_to};трансфер аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Нижний Тагил;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Нижний Тагил;https://city2city.ru/aeroport-kolczovo-nizhnij-tagil;межгород {city_from} {city_to};межгород аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Нижний Тагил;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Нижний Тагил;https://city2city.ru/aeroport-kolczovo-nizhnij-tagil;такси {city_from} {city_to} цена;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Нижний Тагил цена;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Первоуральск;https://city2city.ru/aeroport-kolczovo-pervouralsk;такси {city_from} {city_to};такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Первоуральск;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Первоуральск;https://city2city.ru/aeroport-kolczovo-pervouralsk;трансфер {city_from} {city_to};трансфер аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Первоуральск;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Первоуральск;https://city2city.ru/aeroport-kolczovo-pervouralsk;межгород {city_from} {city_to};межгород аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Первоуральск;0;;0;;0;;0
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Первоуральск;https://city2city.ru/aeroport-kolczovo-pervouralsk;такси {city_from} {city_to} цена;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Первоуральск цена;0;;0;;0;;0
аэропорт Краснодар (Пашковский) имени Екатерины II;Донецк;https://city2city.ru/aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast;такси {city_from} {city_to};такси аэропорт Краснодар (Пашковский) имени Екатерины II Донецк;0;;0;;0;;0
аэропорт Краснодар (Пашковский) имени Екатерины II;Донецк;https://city2city.ru/aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast;трансфер {city_from} {city_to};трансфер аэропорт Краснодар (Пашковский) имени Екатерины II Донецк;0;;0;;0;;0
