page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/astraxan-adler;Астрахань;Адлер;такси Астрахань Адлер;0;;0;;0;;0;[]
https://city2city.ru/astraxan-app-karauzek;Астрахань;село Котяевка;такси Астрахань село Котяевка;0;;0;;0;;0;[]
https://city2city.ru/astraxan-axtubinsk;Астрахань;Ахтубинск;такси Астрахань Ахтубинск;13;такси ахтубинск астрахань;13;;0;;0;"[{""phrase"": ""такси ахтубинск астрахань"", ""count"": ""13""}]"
https://city2city.ru/astraxan-belgorod;Астрахань;Белгород;такси Астрахань Белгород;3;;0;;0;;0;[]
https://city2city.ru/astraxan-budyonnovsk;Астрахань;Будённовск;такси Астрахань Будённовск;1;;0;;0;;0;[]
https://city2city.ru/astraxan-ejsk;Астрахань;Ейск;такси Астрахань Ейск;2;;0;;0;;0;[]
https://city2city.ru/astraxan-elista;Астрахань;Элиста;такси Астрахань Элиста;91;такси элиста астрахань;91;такси элиста астрахань телефоны;12;;0;"[{""phrase"": ""такси элиста астрахань"", ""count"": ""91""}, {""phrase"": ""такси элиста астрахань телефоны"", ""count"": ""12""}]"
https://city2city.ru/astraxan-feodosiya;Астрахань;Феодосия;такси Астрахань Феодосия;0;;0;;0;;0;[]
https://city2city.ru/astraxan-gelendzhik;Астрахань;Геленджик;такси Астрахань Геленджик;2;;0;;0;;0;[]
https://city2city.ru/astraxan-gorod-lagan;Астрахань;Лагань;такси Астрахань Лагань;12;такси астрахань лагань;12;;0;;0;"[{""phrase"": ""такси астрахань лагань"", ""count"": ""12""}]"
https://city2city.ru/astraxan-granicza-kazaxstan;Астрахань;52А-3;такси Астрахань 52А-3;0;;0;;0;;0;[]
https://city2city.ru/astraxan-ilinka;Астрахань;село Ильинка;такси Астрахань село Ильинка;0;;0;;0;;0;[]
https://city2city.ru/astraxan-kamensk-shaxtinskij;Астрахань;Каменск-Шахтинский;такси Астрахань Каменск-Шахтинский;0;;0;;0;;0;[]
https://city2city.ru/astraxan-kamyzyak;Астрахань;Камызяк;такси Астрахань Камызяк;18;такси астрахань камызяк;18;;0;;0;"[{""phrase"": ""такси астрахань камызяк"", ""count"": ""18""}]"
https://city2city.ru/astraxan-kazan;Астрахань;Казань;такси Астрахань Казань;6;;0;;0;;0;[]
https://city2city.ru/astraxan-kerch;Астрахань;Керчь;такси Астрахань Керчь;8;;0;;0;;0;[]
https://city2city.ru/astraxan-kislovodsk;Астрахань;Кисловодск;такси Астрахань Кисловодск;4;;0;;0;;0;[]
https://city2city.ru/astraxan-kozlovo;Астрахань;посёлок городского типа Козлово;такси Астрахань посёлок городского типа Козлово;0;;0;;0;;0;[]
https://city2city.ru/astraxan-krasnye-barrikady;Астрахань;поселок городского типа Красные Баррикады;такси Астрахань поселок городского типа Красные Баррикады;0;;0;;0;;0;[]
https://city2city.ru/astraxan-lagan;Астрахань;Лагань;такси Астрахань Лагань;12;такси астрахань лагань;12;;0;;0;"[{""phrase"": ""такси астрахань лагань"", ""count"": ""12""}]"
https://city2city.ru/astraxan-liman;Астрахань;рабочий посёлок Лиман;такси Астрахань рабочий посёлок Лиман;0;;0;;0;;0;[]
https://city2city.ru/astraxan-lipeczk;Астрахань;Липецк;такси Астрахань Липецк;1;;0;;0;;0;[]
https://city2city.ru/astraxan-mineralnye-vody;Астрахань;Минеральные Воды;такси Астрахань Минеральные Воды;5;;0;;0;;0;[]
