url,gorod1,gorod2,freq,price,position_display,total_competition,federal_count,regional_count,monthly_revenue,composite_score,freq_score,price_score,competition_score,position_score,segment
https://city2city.ru/ekaterinburg-sibaj.html,Екатеринбург,Сибай,40889,17700,not ranking,4,1,3,36186765.0,94.27661780526208,100.0,88.14095397966898,86.20689655172414,100.0,DIRECT_ONLY
https://city2city.ru/cheljabinsk-sibaj.html,Челябинск,Сибай,28072,11400,not ranking,3,0,3,16001040.0,83.00418857685563,68.65416126586612,84.17679060417544,89.65517241379311,100.0,DIRECT_ONLY
https://city2city.ru/rostov-rostov-velikij.html,Ростов-на-Дону,Ростов,19134,39000,not ranking,14,1,13,37311300.0,70.53792547397381,46.79498153537626,95.25941740154094,51.724137931034484,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-orenburg.html,Донецк,Оренбург,10273,53000,not ranking,5,1,4,27223450.0,69.85099823219059,25.124116510552962,98.02333326226407,82.75862068965517,100.0,DIRECT_ONLY
https://city2city.ru/donetsk-ufa.html,Донецк,Уфа,10273,57300,not ranking,6,1,5,29432145.0,69.33707592813323,25.124116510552962,98.72626473568984,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-kirov.html,Донецк,Киров,10273,56000,not ranking,6,1,5,28764400.0,69.28537806241148,25.124116510552962,98.5194732728028,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-kazan.html,Донецк,Казань,10273,47500,not ranking,6,1,5,24398375.0,68.91452901024286,25.124116510552962,97.03607706412835,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-yoshkar-ola.html,Донецк,Йошкар-Ола,10273,47000,not ranking,6,1,5,24141550.0,68.89069040532615,25.124116510552962,96.9407226444615,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-saransk.html,Донецк,Саранск,10273,35000,not ranking,6,1,5,17977750.0,68.22658985724911,25.124116510552962,94.28432045215334,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-saratov.html,Донецк,Саратов,10273,29000,not ranking,6,1,5,14895850.0,67.80296384166942,25.124116510552962,92.5898163898346,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-tambov.html,Донецк,Тамбов,10273,26000,not ranking,6,1,5,13354900.0,67.55697138929014,25.124116510552962,91.60584658031745,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-volgograd.html,Донецк,Волгоград,10273,18600,not ranking,5,1,4,9553890.0,67.49212799356265,25.124116510552962,88.5878523077523,82.75862068965517,100.0,DIRECT_ONLY
https://city2city.ru/donetsk-maykop.html,Донецк,Майкоп,10273,22000,not ranking,6,1,5,11300300.0,67.18065190672021,25.124116510552962,90.10056865003776,79.3103448275862,100.0,SEO_INVEST_DIRECT
https://city2city.ru/samara-pervomajsk.html,Самара,Первомайск,31,63000,not ranking,0,0,0,97650.0,64.92173775946547,0.0758150113722517,99.58081002194074,100.0,100.0,NEW_P1
https://city2city.ru/sankt-peterburg-krasnogvardejskoe.html,Санкт-Петербург,село Красногвардейское,16,63000,not ranking,0,0,0,50400.0,64.90889812044276,0.03913032845019443,99.58081002194074,100.0,100.0,NEW_P1
https://city2city.ru/sankt-peterburg-leningradskaya.html,Санкт-Петербург,станица Ленинградская,218,58000,not ranking,0,0,0,632200.0,64.89552252653175,0.533150725133899,98.83567909093955,100.0,100.0,NEW_P1
https://city2city.ru/krasnodar-neya.html,Краснодар,Нея,9,58000,not ranking,0,0,0,26100.0,64.71662355614852,0.022010809753234366,98.83567909093955,100.0,100.0,NEW_P1
https://city2city.ru/moskva-sevastopol.html,Москва,Севастополь,51,57000,not ranking,0,0,0,145350.0,64.71339554675569,0.12472792193499475,98.6789630963138,100.0,100.0,NEW_P1
https://city2city.ru/moskva-krasnogvardejskoe.html,Москва,село Красногвардейское,173,54000,not ranking,0,0,0,467100.0,64.69602553176627,0.42309667636772724,98.19176678015025,100.0,100.0,NEW_P1
https://city2city.ru/moskva-simferopol.html,Москва,Симферополь,93,54000,not ranking,0,0,0,251100.0,64.62754745697842,0.22744503411675512,98.19176678015025,100.0,100.0,NEW_P1
https://city2city.ru/rostov-kirov.html,Ростов-на-Дону,Киров,15,54000,not ranking,0,0,0,40500.0,64.56078133406028,0.03668468292205728,98.19176678015025,100.0,100.0,NEW_P1
https://city2city.ru/moskva-sochi.html,Москва,Сочи,204,49500,not ranking,0,0,0,504900.0,64.52654753905023,0.498911687739979,97.40771379336492,100.0,100.0,NEW_P1
https://city2city.ru/moskva-dzhankoj.html,Москва,Джанкой,59,51000,not ranking,0,0,0,150450.0,64.46968169367558,0.14429308616009195,97.67671645407819,100.0,100.0,NEW_P1
https://city2city.ru/sankt-peterburg-strizhi.html,Санкт-Петербург,деревня Стрижи,14,48000,not ranking,0,0,0,33600.0,64.29459191577894,0.034239037393920126,97.13043301076429,100.0,100.0,NEW_P1
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html,Киров,Киров,498,39000,not ranking,0,0,0,971100.0,64.24113036593954,1.2179314730123016,95.25941740154094,100.0,100.0,NEW_P1
https://city2city.ru/rostov-lyubim.html,Ростов-на-Дону,Любим,56,46000,not ranking,0,0,0,128800.0,64.2346677178262,0.1369561495756805,96.7469322618988,100.0,100.0,NEW_P1
https://city2city.ru/bryansk-otradnyj.html,Брянск,Отрадный,9,46500,not ranking,0,0,0,20925.0,64.21879088188973,0.022010809753234366,96.84434839390443,100.0,100.0,NEW_P1
https://city2city.ru/moskva-otradnaya.html,Москва,станица Отрадная,59,45000,not ranking,0,0,0,132750.0,64.18772320626721,0.14429308616009195,96.5488825044447,100.0,100.0,NEW_P1
https://city2city.ru/moskva-ufa.html,Москва,Уфа,323,40500,not ranking,0,0,0,654075.0,64.17635289860218,0.7899435055883001,95.59949068658511,100.0,100.0,NEW_P1
https://city2city.ru/kirov-volgograd.html,Киров,Волгоград,21,45000,not ranking,0,0,0,47250.0,64.15519612074299,0.05135855609088019,96.5488825044447,100.0,100.0,NEW_P1
https://city2city.ru/donetsk-samara.html,Донецк,Самара,104,43500,not ranking,0,0,0,226200.0,64.14987128757213,0.25434713492626376,96.24339916139174,100.0,100.0,NEW_P1
https://city2city.ru/moskva-astraxan.html,Москва,Астрахань,60,43500,not ranking,0,0,0,130500.0,64.11220834643882,0.14673873168822912,96.24339916139174,100.0,100.0,NEW_P1
https://city2city.ru/moskva-leningradskaya.html,Москва,станица Ленинградская,406,37500,not ranking,0,0,0,761250.0,64.07402745538039,0.9929320844236836,94.9060049033284,100.0,100.0,NEW_P1
https://city2city.ru/donetsk-tver.html,Донецк,Тверь,11,43500,not ranking,0,0,0,23925.0,64.07026552563126,0.02690210080950867,96.24339916139174,100.0,100.0,NEW_P1
https://city2city.ru/donetsk-nizhniy-novgorod.html,Донецк,Нижний Новгород,9,43500,not ranking,0,0,0,19575.0,64.06855357376156,0.022010809753234366,96.24339916139174,100.0,100.0,NEW_P1
https://city2city.ru/ufa-vidnoe.html,Уфа,садовое товарищество Видное,10,40500,not ranking,0,0,0,20250.0,63.90843243099476,0.02445645528137152,95.59949068658511,100.0,100.0,NEW_P1
https://city2city.ru/oryol-kirov.html,Орёл,Киров,9,40500,not ranking,0,0,0,18225.0,63.90757645505991,0.022010809753234366,95.59949068658511,100.0,100.0,NEW_P1
https://city2city.ru/perm-gagarin.html,Пермь,Гагарин,10,39500,not ranking,0,0,0,19750.0,63.85211153507754,0.02445645528137152,95.37420710291624,100.0,100.0,NEW_P1
